example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
29,24033807404,24033806712,1,1,1,24033807404__24033807408,24033807404,24033807408,#1f77b4,8285.234106812553,True,True,B160004;B160086;B160129;B3186;S2012161017,
29,24033807404,24033806712,2,2,1,24033806712__24033807408,24033806712,24033807408,#ff7f0e,1462.0825906543275,True,True,S2010160122,
30,24005402603,24005402602,1,1,1,24005402603__24005402604,24005402603,24005402604,#1f77b4,4377.76850809413,True,True,B030120,
30,24005402603,24005402602,2,2,1,24005402602__24005402604,24005402602,24005402604,#ff7f0e,2512.8729016176476,True,True,B030013;B0936;S2011030971,
31,24011955000,24035810500,1,1,1,24011955000__24011955100,24011955000,24011955100,#1f77b4,16380.843759353675,True,True,B1430;P0084,P0084
31,24011955000,24035810500,2,2,1,24011955100__24035810500,24011955100,24035810500,#ff7f0e,7614.0861046750515,True,True,B3568,
32,24033800514,24033803523,1,1,1,24033800514__24033800518,24033800514,24033800518,#1f77b4,2471.967727802877,True,True,B160071;B3141,
32,24033800514,24033803523,2,3,2,24033803520__24033803523,24033803520,24033803523,#ff7f0e,1216.983709464699,True,True,S2012161053,
33,24043000900,24043000800,1,1,2,24043000900__24043001001,24043000900,24043001001,#1f77b4,3806.746116344943,True,True,B210034;B210052;S2013210536;S2013210537,
33,24043000900,24043000800,2,3,1,24043000800__24043000900,24043000800,24043000900,#ff7f0e,1582.0688920726025,True,True,B210034,
34,24003750803,24003750203,1,1,1,24003750803__24003751102,24003750803,24003751102,#1f77b4,897.8583884950666,True,True,B0618;S2010020171;S2010020172,
34,24003750803,24003750203,2,2,1,24003750203__24003751102,24003750203,24003751102,#ff7f0e,2649.4418814021924,True,True,B0772;S2005020023;S2005020024;S2005020027;S2010020171;S2010020172,
35,24021751902,24021750300,1,1,1,24021751902__24021772200,24021751902,24021772200,#1f77b4,1050.6445979383084,True,True,P0067;S2017100229,P0067
35,24021751902,24021750300,2,2,1,24021750300__24021772200,24021750300,24021772200,#ff7f0e,557.8516860684612,True,True,B2008,
36,24005408602,24005490301,1,1,1,24005408602__24005490200,24005408602,24005490200,#1f77b4,1815.4750043535287,True,True,S2012030118;S2012030119,
36,24005408602,24005490301,2,2,1,24005490200__24005490301,24005490200,24005490301,#ff7f0e,2610.328173343349,True,True,B030152;B1103;B1104;S2000030147;S2000030149;S2001030145;S2006030057;S2006030058;S2006030059;S2006030061,
37,24025301202,24025303502,1,1,1,24025301202__24025303501,24025301202,24025303501,#1f77b4,3396.019846353342,True,True,S2011120703,
37,24025301202,24025303502,2,2,1,24025303501__24025303502,24025303501,24025303502,#ff7f0e,1399.2438008777483,True,True,B2307;S2011120705,
38,24003730700,24003731203,1,1,1,24003730700__24003731201,24003730700,24003731201,#1f77b4,3041.936932761612,True,True,B020081;B0609;B0610;B0751;S2011020820;S2011020830;S2011020832,
38,24003730700,24003731203,2,2,1,24003731201__24003731203,24003731201,24003731203,#ff7f0e,3291.3393730536436,True,True,B0610,
39,24025301204,24025301107,1,1,1,24025301204__24025301205,24025301204,24025301205,#1f77b4,2122.4651789146797,True,True,B120045;S2013120359;S2013120360,
39,24025301204,24025301107,2,2,1,24025301107__24025301205,24025301107,24025301205,#ff7f0e,1687.9989817703572,True,True,S2013120359;S2013120360;S2013120361;S2013120362;S2017120202;S2017120332,
40,24005491701,24005492101,1,1,1,24005491701__24005491900,24005491701,24005491900,#1f77b4,1510.3394392373448,True,True,B030089;B0958;S2012030133,
40,24005491701,24005492101,2,2,1,24005491900__24005492101,24005491900,24005492101,#ff7f0e,1197.6484447509147,True,True,B1099;S2004030028;S2004030030;S2010030023,
41,24013513001,24027604002,1,1,2,24013513001__24013513002,24013513001,24013513002,#1f77b4,9077.310169587527,True,True,B1505;B1580;B1590;S2005060006;S2007060013;S2007060014;S2007060028;S2007060029;S2011060716;S2013060382;S2013060384,
41,24013513001,24027604002,2,4,1,24027604001__24027604002,24027604001,24027604002,#ff7f0e,19184.66809485873,True,True,B2534;B2535;B2558;B2587;S2005130045;S2005130046;S2005130047;S2010130039;S2010130040;S2010130041;S2010130042,
42,24025303603,24025303203,1,1,1,24025303201__24025303603,24025303201,24025303603,#1f77b4,2420.8998828051745,True,True,B2303,
42,24025303603,24025303203,2,2,1,24025303201__24025303203,24025303201,24025303203,#ff7f0e,3510.275243883981,True,True,B2323;S2014120101,
43,24005491701,24005491500,1,2,1,24005491600__24005492001,24005491600,24005492001,#1f77b4,1373.5661305236827,True,True,S2012030151;S2012030152,
43,24005491701,24005491500,2,3,1,24005491500__24005491600,24005491500,24005491600,#ff7f0e,751.9357717646953,True,True,S2012030151,
44,24005408503,24005408100,1,1,1,24005408503__24005408900,24005408503,24005408900,#1f77b4,893.0689267632222,True,True,P0013;S2011030934;S2011030937,P0013
44,24005408503,24005408100,2,2,1,24005408100__24005408900,24005408100,24005408900,#ff7f0e,4640.820147700514,True,True,B0968,
45,24027606805,24027606804,1,1,1,24027606805__24027606806,24027606805,24027606806,#1f77b4,4584.207770630129,True,True,B2564;B2565;S2006130014;S2006130016;S2006130018;S2010130035;S2010130036;S2013130220,
45,24027606805,24027606804,2,2,1,24027606804__24027606806,24027606804,24027606806,#ff7f0e,1709.5764902723686,True,True,S2008130002,
46,24005490701,24005490301,1,1,2,24005490701__24005490703,24005490701,24005490703,#1f77b4,1450.8849451460385,True,True,S2012030156;S2017030279,
46,24005490701,24005490301,2,3,1,24005490301__24005490701,24005490301,24005490701,#ff7f0e,1183.9971796273383,True,True,S2012030176;S2012030193,
47,24005411408,24005411409,1,1,1,24005411408__24005411410,24005411408,24005411410,#1f77b4,1551.653250643171,True,True,B030087,
47,24005411408,24005411409,2,2,1,24005411409__24005411410,24005411409,24005411410,#ff7f0e,2083.332898691112,True,True,S2012030097;S2012030098,
48,24025301602,24025302400,1,1,1,24025301602__24025301702,24025301602,24025301702,#1f77b4,6970.147605844399,True,True,B2333,
48,24025301602,24025302400,2,2,1,24025301702__24025302400,24025301702,24025302400,#ff7f0e,9097.997355962048,True,True,B2343;S2011120414,
49,24005491401,24005492102,1,1,1,24005491401__24005491402,24005491401,24005491402,#1f77b4,1174.7248149743523,True,True,B0955;S2010030026,
49,24005491401,24005492102,2,2,1,24005491402__24005492102,24005491402,24005492102,#ff7f0e,1435.9429308617757,True,True,B0955;S2008030098;S2010030026,
50,24003751102,24003750202,1,1,1,24003750203__24003751102,24003750203,24003751102,#1f77b4,2649.4418814021924,True,True,B0772;S2005020023;S2005020024;S2005020027;S2010020171;S2010020172,
50,24003751102,24003750202,2,2,1,24003750202__24003750203,24003750202,24003750203,#ff7f0e,1310.0078443316065,True,True,B0619;B0620;S2010020171;S2010020172,
51,24031704503,24031704803,1,2,1,24031704600__24031704700,24031704600,24031704700,#1f77b4,1467.835918510239,True,True,B150019;S2012150773,
51,24031704503,24031704803,2,4,2,24031704803__24031704804,24031704803,24031704804,#ff7f0e,620.0677989597744,True,True,S2012150869,
52,24031701215,24031701205,1,1,1,24031701213__24031701215,24031701213,24031701215,#1f77b4,1907.7982535472547,True,True,S2012150707;S2012150708,
52,24031701215,24031701205,2,2,1,24031701205__24031701213,24031701205,24031701213,#ff7f0e,1209.098059870067,True,True,S2012150708;S2012150813,
