example_id,o_tract_fips,d_tract_fips,path_order,screenline_id,screenline_color,station_id,is_fhwa_station,boundary_distance_m,boundary_centroid_distance_ratio,station_x,station_y
8,24035810500,24019970200,2,24011955500__24019970200,#ff7f0e,B1825,False,73.26567088645679,0.013720817435148256,496409.48977507814,114932.06818024455
8,24035810500,24019970200,2,24011955500__24019970200,#ff7f0e,S2014090612,False,65.04131529752456,0.013387688428620252,497828.2485245849,114536.90760468449
9,24510260301,24510090200,1,24510080101__24510260301,#1f77b4,S2012240249,False,107.85876705113037,0.38748498599766446,437187.549991306,184068.1741549307
9,24510260301,24510090200,1,24510080101__24510260301,#1f77b4,S2012240251,False,148.9849159630738,0.2780216358973129,437010.8302242076,184255.7549115287
9,24510260301,24510090200,2,24510080101__24510090200,#ff7f0e,B240026,False,1.172753968148404,0.0017548210736156153,436002.99008400855,184626.14656541162
10,24005408601,24005408503,1,24005408505__24005408601,#1f77b4,B0965,False,85.67874143953122,0.08761878745376668,432135.93627364916,197095.6991927981
10,24005408601,24005408503,2,24005408503__24005408505,#ff7f0e,S2011030397,False,1.88720388335475,0.002439830466474233,431915.4217938821,198729.77813336195
10,24005408601,24005408503,2,24005408503__24005408505,#ff7f0e,S2017030286,False,95.62003166257378,0.11191725722593,433040.48187192297,198560.31714635654
11,24510270200,24510260203,1,24510270101__24510270200,#1f77b4,B240155,False,13.159586878981408,0.024379838053295924,437167.89382665546,185663.70556142702
11,24510270200,24510260203,2,24510260201__24510270102,#ff7f0e,B240038,False,1.2894345180754008,0.002584231172132017,438363.4455508346,185375.95194392937
11,24510270200,24510260203,2,24510260201__24510270102,#ff7f0e,S2012240241,False,32.79288775004853,0.07008380115610292,438175.10664126626,185252.04500143736
12,24005490703,24005491201,1,24005490703__24005490900,#1f77b4,B0962,False,2.7666708238823317,0.003879521399714951,434227.5652342799,192450.85358694047
12,24005490703,24005491201,1,24005490703__24005490900,#1f77b4,S2009030120,False,79.47952554088215,0.11638979984055427,434353.278075381,192709.6400810469
12,24005490703,24005491201,1,24005490703__24005490900,#1f77b4,S2012030201,False,79.38814120396283,0.12472352737101534,434323.0068887034,192529.7299963448
12,24005490703,24005491201,2,24005490900__24005491201,#ff7f0e,B030093,False,0.49542484761886946,0.0006696855800939462,435664.982487288,192239.13778041018
13,24025303206,24025303603,1,24025303206__24025303802,#1f77b4,B2444,False,6.949040823582767,0.011709191471609825,454212.0821402006,209187.5723788847
13,24025303206,24025303603,2,24025303603__24025303802,#ff7f0e,S2017120206,False,56.16518583037248,0.10691207991738987,454980.45136654447,209736.08711408233
13,24025303206,24025303603,2,24025303603__24025303802,#ff7f0e,S2017120207,False,91.40961211904174,0.1582161232238741,455190.49103158904,209670.21349591305
14,24005490100,24005491201,1,24005490100__24005490302,#1f77b4,B1102,False,17.44862936227653,0.019917845207024384,435217.89755207964,194068.9512469276
14,24005490100,24005491201,1,24005490100__24005490302,#1f77b4,P0054,True,20.650434351879753,0.019559356495766303,436635.3324475595,193154.7350148569
14,24005490100,24005491201,1,24005490100__24005490302,#1f77b4,S1998030068,False,77.47876263362357,0.05993801622905033,434538.6603991773,194031.3521092593
14,24005490100,24005491201,1,24005490100__24005490302,#1f77b4,S1998030089,False,86.50548606625402,0.11234633532018776,436271.06536496023,193626.32107816634
14,24005490100,24005491201,1,24005490100__24005490302,#1f77b4,S2007030024,False,92.30698302985964,0.06525738649370731,436920.1664782333,192803.31495764691
