scenario,activity_pair,vehicle_trips,share
real,12 -> 5,573.54347892,0.0026308802892150676
real,10 -> 10,548.55986159,0.002516278853050963
real,2 -> 9,536.52952486,0.002461094935983027
real,10 -> 2,526.47083825,0.0024149551029794825
real,2 -> 11,510.48374884,0.0023416213105878604
real,11 -> 5,484.40585637,0.002222000365000991
real,16 -> 6,480.76424594,0.002205296067151894
real,3 -> 5,459.13275171,0.0021060710321063564
real,5 -> 11,445.8009159,0.0020449170562689416
real,16 -> 10,404.78259846,0.0018567634344147299
real,6 -> 5,394.92272863,0.0018115355865821307
real,9 -> 2,388.77805021,0.0017833495572174799
real,9 -> 7,384.06767443,0.0017617427649691687
real,16 -> 7,377.26588174,0.0017305425107998695
real,15 -> 1,371.2257369,0.0017028359835920576
real,7 -> 16,343.10067058,0.0015738245218045624
real,5 -> 18,339.45085687,0.0015570825949901782
real,2 -> 18,338.49227796,0.0015526855327749039
real,16 -> 13,332.07777424,0.00152326179765752
real,10 -> 6,328.90134,0.0015086912924750012
real,10 -> 8,305.20536567,0.001399996356363211
real,13 -> 2,302.39783148,0.0013871180190910709
real,5 -> 13,295.85082785,0.0013570864984886212
real,10 -> 7,291.15736148,0.0013355572707757055
real,18 -> 2,288.82585322,0.0013248624946151839
real,16 -> 9,277.78110216,0.001274199521482341
real,1 -> 15,268.6592849,0.001232357167566391
real,13 -> 7,265.3781595,0.0012173064373975854
real,16 -> 8,261.07885702,0.0011975852644303601
real,14 -> 5,252.87193419,0.0011599395892511854
real,1 -> 1,251.60320783999998,0.0011541198610713654
real,9 -> 10,247.45748349000002,0.0011351031607202918
real,8 -> 10,239.22498748,0.0010973401797436191
real,5 -> 12,234.10129664000002,0.0010738374851190185
real,8 -> 7,229.32319619,0.0010519200355170015
real,2 -> 12,224.25680927,0.0010286801976053855
real,4 -> 5,223.54236206,0.0010254029829711731
real,7 -> 11,213.6049791,0.0009798195774984517
real,11 -> 7,212.62068923,0.0009753045774800865
real,18 -> 6,208.66831308,0.000957174777576897
real,4 -> 2,204.12698889,0.0009363434356864716
real,18 -> 10,203.69991878,0.0009343844380240316
real,5 -> 3,203.04119705,0.0009313628396984819
real,8 -> 16,202.70826077,0.0009298356398804909
real,2 -> 4,202.62469169,0.00092945230321389
real,7 -> 8,201.79327723,0.0009256385523904977
real,13 -> 16,198.50055157,0.0009105346110938432
real,5 -> 9,195.70978706,0.0008977331974067319
real,2 -> 14,194.24186518,0.0008909997467057115
real,9 -> 9,193.99718195,0.0008898773692215832
real,6 -> 6,189.87570409,0.0008709718890568915
real,6 -> 16,187.98778564,0.000862311887469735
real,14 -> 7,184.34708791,0.0008456117762333852
real,6 -> 11,183.38651523,0.0008412055684687546
real,16 -> 18,181.784038,0.0008338549038491139
real,2 -> 3,180.68058212,0.0008287932817900905
real,10 -> 11,172.06456719,0.0007892710752197993
real,9 -> 16,166.60330739,0.0007642199303804266
real,3 -> 3,166.02735160999998,0.0007615779847132649
real,18 -> 8,164.42457432,0.0007542259436993862
real,16 -> 12,162.79334984,0.0007467434136219835
real,7 -> 10,162.46413222,0.0007452332715331025
real,9 -> 6,160.55946162,0.0007364964267721382
real,16 -> 11,155.9466256,0.0007153370555850551
real,10 -> 18,154.26696613,0.0007076323511386938
real,16 -> 3,153.88340677,0.0007058729400442322
real,6 -> 8,152.04552508,0.000697442460246545
real,11 -> 16,148.98796297,0.0006834172290584979
real,8 -> 18,147.9433287,0.0006786254254526811
real,9 -> 8,147.06150157,0.0006745804285168242
real,8 -> 6,146.21002907,0.0006706746701926656
real,18 -> 7,145.89941626,0.0006692498695464349
real,13 -> 6,144.20498827,0.000661477420962799
real,6 -> 18,139.29355845999999,0.0006389483811359951
real,6 -> 10,137.87337522,0.0006324339106023485
real,14 -> 14,134.93768825,0.0006189677284059752
real,11 -> 8,132.93593031,0.0006097855378629974
real,11 -> 11,132.90985218,0.0006096659158278453
real,18 -> 16,131.03197401,0.0006010519696414057
real,10 -> 16,126.77738253,0.000581535888864981
real,18 -> 18,124.60620475,0.0005715765587780278
real,7 -> 9,120.94636923,0.0005547886612859875
real,13 -> 8,118.94685135,0.0005456167460402057
real,3 -> 2,118.69841529,0.0005444771540870114
real,16 -> 4,118.10618548,0.0005417605584127855
real,11 -> 2,117.37755737,0.0005384182950914821
real,18 -> 12,116.40110354,0.0005339392394852481
real,12 -> 7,115.65634974,0.0005305230066018623
real,7 -> 18,115.59764106,0.0005302537061657233
real,5 -> 14,108.87990332999999,0.0004994390174253801
real,13 -> 10,108.35338138,0.0004970238278695639
real,7 -> 3,105.81822213,0.00048539489171043346
real,10 -> 3,104.95570913,0.0004814384899130237
real,3 -> 6,102.63511563,0.00047079378044840404
real,12 -> 2,102.34623421,0.0004694686630654472
real,7 -> 13,101.78286976,0.00046688447462703894
real,5 -> 4,101.24974575,0.00046443900100356163
real,4 -> 7,99.23698605,0.00045520634469016806
real,18 -> 11,98.49916035,0.0004518218914405879
real,7 -> 7,97.78440102,0.00044854324509215326
real,6 -> 7,97.20918196,0.0004459046788063252
real,11 -> 6,94.62157478,0.00043403516066811454
real,3 -> 10,94.11984841,0.0004317337100093119
