LOCATION_ID,COUNTY_DESC,ROADNAME,ID_PREFIX,ID_RTE_NO,ID_MP,BEGIN_SECTION,END_SECTION,STATION_DESC,ROAD_SECTION,RURAL_URBAN,F_SYSTEM,F_SYSTEM_DESC,MAIN_LINE,PEAK_HOUR_DIRECTION,NUM_LANES,COUNTED_FACTORED,K_FACTOR,D_FACTOR,NORTH_EAST_SPLIT,SOUTH_WEST_SPLIT,AADT_2017,AADT_2018,AAWDT_2017,AAWDT_2018,AADT,AAWDT,TRUCK_AADT,LINK,longitude,latitude,station_class,is_mainline,is_ramp,candidate_reason,candidate_for_tract_screenline_seed
B3358,Prince George's,Veterans Pkwy,MD,410.0,6.02,5.37,7.15,Md410-.50 Mi W Of Md450,Veterans Pkwy/riverdale Rd To Us 50,Urban,3.0,Principal Arterial Other,1.0,East,4.0,F,8.2,51.78,50.79,49.21,24621.0,24402.0,26341.0,26112.0,24403.0,25873.0,805.0,https://maps.roads.maryland.gov/itms_public/?stationid=B3358,-76.89130312943547,38.95726993771517,B,True,False,pg_dc_route;pg_dc_spatial;pg_montgomery_spatial,True
S2012150654,Montgomery,Briggs Chaney Rd,CO,95.0,1.13,0.98,1.83,Briggs Chaney Rd - Between Good Hope Rd & Fireside Dr,Good Hope Rd To Peach Orchard Rd,Urban,4.0,Minor Arterial,1.0,West,2.0,F,8.61,52.24,50.14,49.86,12855.0,12150.0,13765.0,13000.0,12151.0,12881.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012150654,-76.97936366250246,39.1011705965462,S,True,False,pg_montgomery_route;montgomery_dc_spatial;pg_montgomery_spatial,True
B3145,Prince George's,Capital Beltway,IS,95.0,22.74,22.12,23.04,Is95-.30 Mi S Of Md201,Md 295 To Md 201,Urban,1.0,Interstate,1.0,North,8.0,F,6.63,55.29,51.34,48.66,206132.0,227400.0,214382.0,236500.0,228991.0,238151.0,14653.0,https://maps.roads.maryland.gov/itms_public/?stationid=B3145,-76.89176641039043,38.99910368388114,B,True,False,pg_montgomery_route;pg_dc_spatial;pg_montgomery_spatial,True
S1999020038,Anne Arundel,Ramp 5 Fr Md 424 To Ramp 4 (to Is595 Eb),RP,595.0,0.1,0.0,0.13,Exit 16 Ramp 5 Fr Md 424 Sb To Ramp 4 (to Is 595 Eb),Exit 16 Ramp 05 Davidsonville Rd To Ramp 4 Fr Md 424 Nb To Is 595 Eb,Rural,1.0,Interstate,2.0,East,1.0,F,11.34,100.0,100.0,0.0,3413.0,3394.0,3553.0,3534.0,3425.0,3565.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S1999020038,-76.65461716714582,38.95916921225282,S,False,True,,False
S2000160200,Prince George's,Ramp 2 Fr Md 450 Wb To Is 95 Nb,RP,95.0,0.04,0.0,0.07,Exit 20 Ramp 2 Fr Md 450 Wb To Is 95 Nb,Exit 20 Ramp 02 Annapolis Rd To Ramp 3 Fr Md 450 Eb To Ramp 2 (to Is 95),Urban,1.0,Interstate,2.0,West,1.0,F,8.74,100.0,0.0,100.0,6481.0,6442.0,6741.0,6702.0,6493.0,6753.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2000160200,-76.8642324836885,38.96099586386014,S,False,True,pg_montgomery_route;pg_dc_spatial;pg_montgomery_spatial,False
B2724,Montgomery,Columbia Pike,US,29.0,4.56,3.88,4.76,Us29-.20 Mi S Of Md650,Lockwood Dr To Md 650,Urban,3.0,Principal Arterial Other,1.0,North,6.0,C,7.5,52.3,48.39,51.61,61421.0,60872.0,65721.0,65132.0,64730.0,68610.0,1659.0,https://maps.roads.maryland.gov/itms_public/?stationid=B2724,-76.9949158886909,39.04140379421641,B,True,False,montgomery_dc_route;pg_montgomery_route;montgomery_dc_spatial;pg_montgomery_spatial,True
S2000160201,Prince George's,Ramp 3 Fr Md 450 Eb To Ramp 2 (to Is 95),RP,95.0,0.02,0.0,0.05,Exit 20 Ramp 3 Fr Md 450 Eb To Ramp 2 (to Is 95 Nb),Exit 20 Ramp 03 Annapolis Rd To Ramp 2 Fr Md 450 Wb To Is 95 Nb,Urban,1.0,Interstate,2.0,North,1.0,F,7.73,100.0,100.0,0.0,4851.0,4822.0,5051.0,5022.0,4863.0,5063.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2000160201,-76.86454307979123,38.96081590453566,S,False,True,pg_montgomery_route;pg_dc_spatial;pg_montgomery_spatial,False
S2000150129,Montgomery,Ramp 8 Fr Ramp 5 (fr Is495) To Md 190 Wb,RP,495.0,0.02,0.0,0.04,Exit 39 Ramp 8 Fr Is 495 Sb To Md 190 Wb,Exit 39 Ramp 08 Ramp 5 Fr Ramp 11 (fr Is495) To Md 190 To River Rd,Urban,1.0,Interstate,2.0,North,2.0,F,7.2,100.0,100.0,0.0,4215.0,3400.0,4385.0,3540.0,3421.0,3561.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2000150129,-77.15887773822807,38.99094158358394,S,False,True,montgomery_dc_route;pg_montgomery_route;montgomery_dc_spatial,False
S2005160034,Prince George's,Ramp 1 Fr Ramp 4 (fr Md 295) To Md 197,RP,295.0,0.19,0.0,0.324,Exit 9 Ramp 1 Fr Ramp 4 (fr Md 295 Nb) To Md 197 Wb,Exit 9  Ramp 01 Ramp 4 Fr Md 295 Nb To Md 197 Eb To Laurel Bowie Rd,Urban,2.0,Principal Arterial Other Freeways and Expressways,2.0,West,2.0,F,7.36,100.0,0.0,100.0,12481.0,12372.0,13361.0,13242.0,12373.0,13123.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2005160034,-76.83874563246611,39.05495511288,S,False,True,pg_dc_route;pg_dc_spatial;pg_montgomery_spatial,False
S2012151317,Montgomery,Ramp 11 Fr Shady Grove Rd Sb To Ramp 4,RP,370.0,0.04,0.0,0.07,Exit 3 Ramp 11 Fr Shady Grove Rd Sb To Ramp 4 (to Md 200 Eb),Exit 3  Ramp 11 Shady Grove Rd To Ramp 12 Fr Shady Grove Rd Nb To Ramp 11,Urban,1.0,Interstate,2.0,East,1.0,F,12.66,100.0,100.0,0.0,1505.0,1590.0,1575.0,1650.0,1601.0,1671.0,,https://maps.roads.maryland.gov/itms_public/?stationid=S2012151317,-77.16117437288008,39.13145848096608,S,False,True,,False
