matsim_link_id,count_link_id,direction
mdot_aadt_V2016000903_131_fwd,mdot_aadt_V2016000903_131,fwd
mdot_aadt_V2016000903_131_rev,mdot_aadt_V2016000903_131,rev
mdot_aadt_S2011020893_132_fwd,mdot_aadt_S2011020893_132,fwd
mdot_aadt_S2011020893_132_rev,mdot_aadt_S2011020893_132,rev
mdot_aadt_B0670_133_fwd,mdot_aadt_B0670_133,fwd
mdot_aadt_B0670_133_rev,mdot_aadt_B0670_133,rev
mdot_aadt_S2012030175_134_fwd,mdot_aadt_S2012030175_134,fwd
mdot_aadt_S2012030175_134_rev,mdot_aadt_S2012030175_134,rev
mdot_aadt_S2011020903_135_fwd,mdot_aadt_S2011020903_135,fwd
mdot_aadt_S2011020903_135_rev,mdot_aadt_S2011020903_135,rev
mdot_aadt_V2013000286_136_fwd,mdot_aadt_V2013000286_136,fwd
mdot_aadt_V2013000286_136_rev,mdot_aadt_V2013000286_136,rev
mdot_aadt_V2013000038_137_fwd,mdot_aadt_V2013000038_137,fwd
mdot_aadt_V2013000038_137_rev,mdot_aadt_V2013000038_137,rev
mdot_aadt_S2010030165_138_fwd,mdot_aadt_S2010030165_138,fwd
mdot_aadt_S2010030165_138_rev,mdot_aadt_S2010030165_138,rev
mdot_aadt_V2013000121_139_fwd,mdot_aadt_V2013000121_139,fwd
mdot_aadt_V2013000121_139_rev,mdot_aadt_V2013000121_139,rev
mdot_aadt_B030084_140_fwd,mdot_aadt_B030084_140,fwd
mdot_aadt_B030084_140_rev,mdot_aadt_B030084_140,rev
mdot_aadt_S1999030059_141_fwd,mdot_aadt_S1999030059_141,fwd
mdot_aadt_S1999030059_141_rev,mdot_aadt_S1999030059_141,rev
mdot_aadt_B0706_142_fwd,mdot_aadt_B0706_142,fwd
mdot_aadt_B0706_142_rev,mdot_aadt_B0706_142,rev
mdot_aadt_B020081_143_fwd,mdot_aadt_B020081_143,fwd
mdot_aadt_B020081_143_rev,mdot_aadt_B020081_143,rev
mdot_aadt_V2013000091_144_fwd,mdot_aadt_V2013000091_144,fwd
mdot_aadt_V2013000091_144_rev,mdot_aadt_V2013000091_144,rev
mdot_aadt_B020090_145_fwd,mdot_aadt_B020090_145,fwd
mdot_aadt_B020090_145_rev,mdot_aadt_B020090_145,rev
mdot_aadt_B0662_146_fwd,mdot_aadt_B0662_146,fwd
mdot_aadt_B0662_146_rev,mdot_aadt_B0662_146,rev
mdot_aadt_S2002020101_147_fwd,mdot_aadt_S2002020101_147,fwd
mdot_aadt_S2002020101_147_rev,mdot_aadt_S2002020101_147,rev
mdot_aadt_B020017_148_fwd,mdot_aadt_B020017_148,fwd
mdot_aadt_B020017_148_rev,mdot_aadt_B020017_148,rev
mdot_aadt_V2013000285_149_fwd,mdot_aadt_V2013000285_149,fwd
mdot_aadt_V2013000285_149_rev,mdot_aadt_V2013000285_149,rev
mdot_aadt_V2013000117_150_fwd,mdot_aadt_V2013000117_150,fwd
mdot_aadt_V2013000117_150_rev,mdot_aadt_V2013000117_150,rev
mdot_aadt_S2009030018_151_fwd,mdot_aadt_S2009030018_151,fwd
mdot_aadt_S2009030018_151_rev,mdot_aadt_S2009030018_151,rev
mdot_aadt_S2002020037_152_fwd,mdot_aadt_S2002020037_152,fwd
mdot_aadt_S2002020037_152_rev,mdot_aadt_S2002020037_152,rev
mdot_aadt_S2013030332_153_fwd,mdot_aadt_S2013030332_153,fwd
mdot_aadt_S2013030332_153_rev,mdot_aadt_S2013030332_153,rev
mdot_aadt_S2010030121_154_fwd,mdot_aadt_S2010030121_154,fwd
mdot_aadt_S2010030121_154_rev,mdot_aadt_S2010030121_154,rev
