taz,x,y,lon,lat,out_sr,state,stfips,cntyfips,fipsstco,region
1008,-76.90743049,38.94276073,-76.90743049,38.94276073,4326,Maryland,24,33,24033,TPB Modeled Region
1009,-76.90680859,38.93634013,-76.90680859,38.93634013,4326,Maryland,24,33,24033,TPB Modeled Region
1010,-76.89607178,38.93822378,-76.89607178,38.93822378,4326,Maryland,24,33,24033,TPB Modeled Region
1011,-76.88796729,38.94329818,-76.88796729,38.94329818,4326,Maryland,24,33,24033,TPB Modeled Region
1012,-76.88004784,38.93939270,-76.88004784,38.93939270,4326,Maryland,24,33,24033,TPB Modeled Region
1013,-76.87732143,38.93227779,-76.87732143,38.93227779,4326,Maryland,24,33,24033,TPB Modeled Region
1014,-76.88900907,38.93127768,-76.88900907,38.93127768,4326,Maryland,24,33,24033,TPB Modeled Region
1015,-76.89440829,38.92297608,-76.89440829,38.92297608,4326,Maryland,24,33,24033,TPB Modeled Region
1016,-76.88609219,38.91996811,-76.88609219,38.91996811,4326,Maryland,24,33,24033,TPB Modeled Region
1017,-76.88240319,38.92437394,-76.88240319,38.92437394,4326,Maryland,24,33,24033,TPB Modeled Region
1018,-76.89686794,38.91382009,-76.89686794,38.91382009,4326,Maryland,24,33,24033,TPB Modeled Region
1019,-76.90324418,38.92164043,-76.90324418,38.92164043,4326,Maryland,24,33,24033,TPB Modeled Region
1020,-76.90772112,38.90956000,-76.90772112,38.90956000,4326,Maryland,24,33,24033,TPB Modeled Region
1021,-76.91779161,38.91346010,-76.91779161,38.91346010,4326,Maryland,24,33,24033,TPB Modeled Region
1022,-76.91566984,38.90900241,-76.91566984,38.90900241,4326,Maryland,24,33,24033,TPB Modeled Region
1023,-76.91677585,38.92125619,-76.91677585,38.92125619,4326,Maryland,24,33,24033,TPB Modeled Region
1024,-76.90900568,38.92202155,-76.90900568,38.92202155,4326,Maryland,24,33,24033,TPB Modeled Region
1025,-76.90619621,38.92971993,-76.90619621,38.92971993,4326,Maryland,24,33,24033,TPB Modeled Region
1026,-76.91360057,38.92760167,-76.91360057,38.92760167,4326,Maryland,24,33,24033,TPB Modeled Region
1027,-76.91812381,38.93776554,-76.91812381,38.93776554,4326,Maryland,24,33,24033,TPB Modeled Region
1028,-76.92793957,38.94218192,-76.92793957,38.94218192,4326,Maryland,24,33,24033,TPB Modeled Region
1029,-76.92819541,38.93460808,-76.92819541,38.93460808,4326,Maryland,24,33,24033,TPB Modeled Region
1030,-76.93593620,38.92868583,-76.93593620,38.92868583,4326,Maryland,24,33,24033,TPB Modeled Region
1031,-76.92432828,38.92505796,-76.92432828,38.92505796,4326,Maryland,24,33,24033,TPB Modeled Region
1032,-76.93023343,38.91562870,-76.93023343,38.91562870,4326,Maryland,24,33,24033,TPB Modeled Region
1033,-76.94815494,38.92682272,-76.94815494,38.92682272,4326,Maryland,24,33,24033,TPB Modeled Region
1034,-76.92420962,38.90783592,-76.92420962,38.90783592,4326,Maryland,24,33,24033,TPB Modeled Region
1035,-76.92724723,38.87459740,-76.92724723,38.87459740,4326,Maryland,24,33,24033,TPB Modeled Region
