scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,110030,3253,3254,1,2,930,4,1,13.74358995,13.74358995,0.97882887
real,110031,3254,3253,2,1,1290,4,1,13.74358995,13.74358995,0.97882887
real,110040,2904,2904,1,16,465,4,2,188.00000000,94.00000000,6.69475107
real,110041,2904,2904,16,1,475,4,1,188.00000000,188.00000000,13.38950214
real,110042,2904,2935,1,5,570,4,1,188.00000000,188.00000000,13.38950214
real,110043,2935,2935,5,5,630,4,1,188.00000000,188.00000000,13.38950214
real,110044,2935,2914,5,5,675,4,1,188.00000000,188.00000000,13.38950214
real,110045,2914,2904,5,1,700,4,1,188.00000000,188.00000000,13.38950214
real,110046,2904,2911,1,5,825,4,1,188.00000000,188.00000000,13.38950214
real,110047,2911,2904,5,1,875,4,1,188.00000000,188.00000000,13.38950214
real,110052,78,515,1,2,525,4,1,104.00000000,104.00000000,7.40695863
real,110053,515,743,2,2,680,4,2,104.00000000,52.00000000,3.70347932
real,110054,743,515,2,2,790,4,2,104.00000000,52.00000000,3.70347932
real,110055,515,687,2,5,930,4,1,104.00000000,104.00000000,7.40695863
real,110056,687,637,5,5,975,4,1,104.00000000,104.00000000,7.40695863
real,110057,637,78,5,1,1035,4,1,104.00000000,104.00000000,7.40695863
real,110058,78,722,1,2,480,4,1,104.00000000,104.00000000,7.40695863
real,110059,722,741,2,5,730,4,1,104.00000000,104.00000000,7.40695863
real,110061,741,722,7,2,780,4,1,104.00000000,104.00000000,7.40695863
real,110062,722,641,2,5,990,4,1,104.00000000,104.00000000,7.40695863
real,110063,641,644,5,11,1050,4,1,104.00000000,104.00000000,7.40695863
real,110064,644,81,11,5,1080,4,1,104.00000000,104.00000000,7.40695863
real,110065,81,78,5,1,1110,4,1,104.00000000,104.00000000,7.40695863
real,110068,1148,3010,1,2,510,4,1,306.00000000,306.00000000,21.79355136
real,110069,3010,1148,2,1,1070,4,1,306.00000000,306.00000000,21.79355136
real,110070,1908,19,1,2,540,4,1,69.00000000,69.00000000,4.91423217
real,110074,19,1908,2,1,1110,4,1,69.00000000,69.00000000,4.91423217
real,110075,1908,1938,1,13,765,4,1,69.00000000,69.00000000,4.91423217
real,110076,1938,1944,13,5,920,4,1,69.00000000,69.00000000,4.91423217
real,110077,1944,1944,5,5,960,4,1,69.00000000,69.00000000,4.91423217
real,110078,1944,1908,5,1,1020,4,1,69.00000000,69.00000000,4.91423217
real,110099,1590,1587,1,2,450,4,1,72.00000000,72.00000000,5.12789444
real,110100,1587,1590,2,1,930,4,1,72.00000000,72.00000000,5.12789444
real,110103,1590,1925,1,2,450,4,1,72.00000000,72.00000000,5.12789444
real,110104,1925,1590,2,1,905,4,1,72.00000000,72.00000000,5.12789444
real,110105,1590,1517,1,15,990,4,3,72.00000000,24.00000000,1.70929815
real,110106,1517,1590,15,1,1255,4,2,72.00000000,36.00000000,2.56394722
real,110107,1944,2144,1,9,865,4,1,64.00000000,64.00000000,4.55812839
real,110108,2144,1944,9,1,965,4,1,64.00000000,64.00000000,4.55812839
real,110109,3420,3578,1,5,365,4,2,118.00000000,59.00000000,4.20202461
real,110110,3578,3442,5,7,405,4,2,118.00000000,59.00000000,4.20202461
real,110111,3442,3420,7,1,465,4,2,118.00000000,59.00000000,4.20202461
real,110115,2177,2269,1,2,480,4,1,184.00000000,184.00000000,13.10461912
real,110116,2269,2177,2,1,1020,4,1,184.00000000,184.00000000,13.10461912
real,110117,2177,2223,1,2,530,4,1,184.00000000,184.00000000,13.10461912
