count_id,observed_volume,lon,lat,source_observed_column,route_id,road_name,county,station_desc,location_id,object_id
B1525,14251.00000000,-76.94479264,39.41643944,AADT,06000MD00032  01NN**************,Sykesville Rd,Carroll,Md32-.10 Mi N Of Bennett Rd,B1525,84
S2012030172,651.00000000,-76.50874360,39.24588399,AADT,03000CO05295  01SS**************,Liberty Pkwy,Baltimore,Liberty Pkwy - Between Logan View Dr & Dundalk Ave,S2012030172,85
S2011020897,892.00000000,-76.64336399,39.18377077,AADT,02000CO00562  01SS**************,Hollins Ferry Rd,Anne Arundel,Hollins Ferry Rd - Between Ferndale Rd & Packard Ave,S2011020897,86
B1203,27872.00000000,-76.45567977,39.31626948,AADT,03000MD00702  01EE**************,Southeast Blvd,Baltimore,Md702-.20 Mi E Of Md150,B1203,87
B030133,10681.00000000,-76.80470767,39.47829000,AADT,03000CO00443  01EE**************,Worthington Ave                         ,Baltimore,Worthington Ave-.10 Mi E Of Md128,B030133,88
B020030,1011.00000000,-76.46387021,38.92197967,AADT,02000CO02962  01SS**************,Cohasset Ave,Anne Arundel,Cohasset Ave-.10 Mi S Of Walnut Ave,B020030,89
B0698,17180.00000000,-76.62495629,38.92459973,AADT,02000MD00214  01EE**************,Central Ave,Anne Arundel,Md214-.20 Mi E Of Md424,B0698,90
B1726,5612.00000000,-76.95231525,38.58393291,AADT,08000MD00227  01EE**************,Marshall Corner Rd,Charles,Md227-.20 Mi W Of Us301,B1726,91
S2012030024,4801.00000000,-76.52292999,39.29621544,AADT,03000CO05148  01SS**************,Baltimore St,Baltimore,Baltimore St - .10 Mile North Of Md 151,S2012030024,92
S2010020078,5863.00000000,-76.60514538,39.19243150,AADT,02000RP00010  02SSMD6         05,Ramp 5 Fr Md 10 Sb To Md 710 Eb,Anne Arundel,Exit 6 Ramp 5 Fr Md 10 Sb To Md 710 Eb ,S2010020078,93
S2013030257,425.00000000,-76.50574674,39.23412431,AADT,03000RP00695  02SSMD44        07,Ramp 7 Fr Ramp 1 To Rp 6 (to Md 695 Sb),Baltimore,Exit 44 Ramp 7 Fr Ramp 1 To Ramp 6 (to Md 695 Sb),S2013030257,94
B1500,6533.00000000,-77.10596728,39.46121172,AADT,06000MD00026  01EE**************,Liberty Rd,Carroll,Md26-.10 Mi W Of Hooper Rd,B1500,95
B1165,11173.00000000,-76.42636174,39.47939734,AADT,03000MD00147  01NN**************,Harford Rd,Baltimore,Md147-.30 Mi S Of Harford Co/l,B1165,96
S2010010022,3780.00000000,-78.75538979,39.65032081,AADT,01000RP00068  02WWIS43D       02,Ramp 2 Fr Is 68 Wb To Maryland Ave,Allegany,Exit 43d Ramp 2 Fr Is 68 Wb To Maryland Ave,S2010010022,97
S2000020113,3053.00000000,-76.63514433,39.17540176,AADT,02000RP00097  02NNIS16        02,Ramp 2 Fr Md 648e Wb To Is 97 Nb,Anne Arundel,Exit 16 Ramp 2 Fr Md 648e Wb To Is 97 Nb,S2000020113,98
S2004020090,5083.00000000,-76.54891684,38.97949268,AADT,02000RP00665  02WWMD1         08,Ramp 8 Fr Riva Rd Sb To Md 665 Wb,Anne Arundel,Exit 1 Ramp 8 Fr Riva Rd Sb To Md 665 Wb,S2004020090,99
B080083,22581.00000000,-76.88293382,38.61345165,AADT,08000CO00623  01SS**************,St Charles Pkwy,Charles,St. Charles Pkwy-.10 Mi S Of Md5,B080083,100
S2010030155,5743.00000000,-76.50296084,39.29065668,AADT,03000RP00151  02NNMD6         01,Eastern Ave,Baltimore,Exit 6 Ramp 1 Fr Ramp 1 (fr Md 695) To Md 151 Wb ,S2010030155,101
S2014030326,855.00000000,-76.83740067,39.56371528,AADT,03000CO00169  01EE**************,Arcadia Ave,Baltimore,Arcadia Ave - Between Md 30 & Trenton Rd,S2014030326,102
S2017100224,2982.00000000,-77.47789943,39.42658120,AADT,10000CO00196  01WW**************,Bowers Rd,Frederick,Bowers Rd - .05 Mile East Of Us 40,S2017100224,103
B1042,23840.00000000,-76.59926200,39.41728846,AADT,03000MD00146  01NN**************,Dulaney Valley Rd,Baltimore,Md146-.30 Mi N Of Is695,B1042,104
B0522,4360.00000000,-78.81440414,39.64204709,AADT,01000MD00049  01EE**************,Braddock Rd,Allegany,Md49-.10 Mi W Of Sunset Dr,B0522,105
B020102,8325.00000000,-76.53596571,38.98843597,AADT,02000MD00002AD01NN**************,Solomons Island Rd,Anne Arundel,Md2ad-between Is595/us50 & Jennifer Rd,B020102,106
S2010020045,5175.00000000,-76.76906494,39.10039769,AADT,02000GV00069  01WW**************,Samford Rd,Anne Arundel,Samford Rd - .10 Mile West Of Md 32/mapes Rd,S2010020045,107
S2002030044,3903.00000000,-76.51754293,39.37280030,AADT,03000RP00695  02EEIS32        06,Ramp 6 Fr Is 695 Eb To Us 1 Sb,Baltimore,Exit 32 Ramp 6 Fr Is 695 Eb To Us 1 Sb (ne),S2002030044,108
S1999020036,1255.00000000,-76.65329096,38.95937322,AADT,02000RP00595  02EEIS16        03,Ramp 3 Fr Ramp 6 (fr Is595) To Md 424 Nb,Anne Arundel,Exit 16 Ramp 3 Fr Ramp 6 (fr Is 595 Eb) To Md 424 Nb,S1999020036,109
B100085,35210.00000000,-77.40654900,39.39834218,AADT,10000MD00085  01NN**************,Buckeystown Pike,Frederick,Md85-.10 Mi N Of Md355,B100085,110
S2005030093,972.00000000,-76.66467551,39.54780172,AADT,03000RP00083  02NNIS24        04,Ramp 4 Fr Is 83 Nb To Belfast Rd Eb,Baltimore,Exit 24 Ramp 4 Fr Is 83 Nb To Belfast Rd Eb,S2005030093,111
S2011031012,2671.00000000,-76.69033546,39.26662220,AADT,03000CO02992  01WW**************,Beechfield Ave,Baltimore,Beechfield Ave - Between Md 372 & West Dr,S2011031012,112
S2001030128,13983.00000000,-76.45645895,39.31944159,AADT,03000RP00702  02WWMD1         02,Ramp 2 Fr Md 150 Wb To Md 702 Nb,Baltimore,Exit 1 Ramp 2 Fr Md 150 Wb To Md 702 Nb,S2001030128,113
S2002020012,1043.00000000,-76.64148718,39.20761294,AADT,02000RP00695  02EEIS5         08,Ramp 8 Fr Md 648e To Ramp 1 (to Is695),Anne Arundel,Exit 5 Ramp 8 Fr Md 648e To Ramp 1 (to Is 695 Wb),S2002020012,114
B2002,8663.00000000,-77.31451333,39.29197585,AADT,10000MD00355  01NN**************,Urbana Pike,Frederick,Md355-.20 Mi N Of Md75,B2002,115
B1154,17690.00000000,-76.88422672,39.39658143,AADT,03000MD00026  01EE**************,Liberty Rd,Baltimore,Md26-.10 Mi E Of Carroll Co/l,B1154,116
B0767,9760.00000000,-76.53561248,38.97730086,AADT,02003MU01165  01SS**************,Forest Dr,Anne Arundel,Forest Dr-.10 Mi E Of Md393,B0767,117
B1826,3081.00000000,-75.82790686,38.49693967,AADT,09000MD00331  01NN**************,Rhodesdale Vienna Rd,Dorchester,Md331-.20 Mi N Of Us50,B1826,118
S2001030146,6792.00000000,-76.60187943,39.41210044,AADT,03000RP00695  02SSIS27        06,Ramp 6 Fr Is 695 Eb To Md 146 Sb,Baltimore,Exit 27 Ramp 6 Fr Is 695 Eb To Md 146 Sb,S2001030146,119
S2010010035,330.00000000,-78.73725553,39.66612958,AADT,01000RP00068  02SSIS45        06,Ramp 6 Fr Is 68 Eb To Md 952 Sb,Allegany,Exit 45 Ramp 6 Fr Is 68 Eb To Md 952 Sb ,S2010010035,120
B1679,1742.00000000,-75.77862905,39.49462301,AADT,07000MD00310  01EE**************,Cayots Corner Rd,Cecil,Md310-.20 Mi W Of Delaware St/l,B1679,121
B1983,2030.00000000,-77.55403117,39.51096095,AADT,10000MD00017  01NN**************,Wolfsville Rd,Frederick,Md17-.30 Mi N Of Us40,B1983,122
S2001030060,13245.00000000,-76.74270261,39.29723973,AADT,03000CO02500  01WW**************,Crosby Rd,Baltimore,Crosby Rd - Over Is 695 Structure #3125,S2001030060,123
S2011010312,302.00000000,-78.90522297,39.64364250,AADT,01060MU00535  01SS**************,Village Pkwy,Allegany,Village Pkwy -.10 Mile North Of Hoffman Hollow Rd,S2011010312,124
S2012030090,9691.00000000,-76.46760713,39.38712857,AADT,03000CO04090  01SS**************,Silver Spring Rd,Baltimore,Silver Spring Rd - .10 Mile South Of Perry Hall Blvd,S2012030090,125
S2012030121,3171.00000000,-76.59841321,39.41458668,AADT,03000CO00999  01WW**************,Hampton La,Baltimore,Hampton La - .10 Mile East Of Md 146,S2012030121,126
S1997020024,2582.00000000,-76.51400768,38.84114318,AADT,02000CO03382  01EE**************,Snug Harbor Rd,Anne Arundel,Snug Harbor Rd - .10 Mile East Of Md 468,S1997020024,127
B0713,9593.00000000,-76.60017865,39.15741711,AADT,02000MD00270  01NN**************,Furnace Branch Rd,Anne Arundel,Md270-.10 Mi N Of Md648e (balto Annapolis Blvd),B0713,128
B1721,11275.00000000,-77.07278343,38.62824183,AADT,08000MD00227  01EE**************,Marshall Hall Rd,Charles,Md227-.10 Mi W Of Md210,B1721,129
S2009030008,774.00000000,-76.51469346,39.29338766,AADT,03000RP00150  02EEMD1         02,Ramp 2 Fr Md 151 Wb To Md 150 Nb,Baltimore,Exit 1 Ramp 2 Fr Md 151 Wb To Md 150 Nb ,S2009030008,130
S2012030136,1391.00000000,-76.53712468,39.37790220,AADT,03000CO03670  01SS**************,Woodside Ave,Baltimore,Woodside Ave- .10 Mile South Of Md 147,S2012030136,131
P0024,90707.00000000,-76.67898544,38.95590276,AADT,02000IS00595  01EE**************,John Hanson Hwy,Anne Arundel,Us 50/is 595 - 1.34 Miles West Of Md 424 (atr#24),P0024,132
S2006030028,1042.00000000,-76.69247945,39.25316987,AADT,03000RP00695  02SSIS12A       03,Ramp 3 Fr Ramp 6 (fr Is695) To Leeds Ave,Baltimore,Exit 12a Ramp 3 Fr Ramp 6 (fr Is 695) To Leeds Ave,S2006030028,133
B1566,3131.00000000,-77.16736843,39.35715088,AADT,06000MD00144A 01EE**************,Frederick Rd,Carroll,Md144a-.20 Mi E Of Frederick Co/l,B1566,134
S2011031023,4861.00000000,-76.71284223,39.33491533,AADT,03000CO01903  01SS**************,Flannery La                             ,Baltimore,Flannery La - .10 Mile South Of Md 26,S2011031023,135
S2010010062,173.00000000,-78.44095333,39.66698365,AADT,01000RP00068  02EEIS64        06,Ramp 6 Fr Is 68 Eb To Md 948al Sb,Allegany,Exit 64 Ramp 6 Fr Is 68 Eb To Md 948al Sb,S2010010062,136
S2017030280,342.00000000,-76.61040452,39.37899552,AADT,03000CO01319  01NN**************,Heathfield Rd,Baltimore,Heathfield Rd - .05 Mile South Of Dumbarton Rd,S2017030280,137
S2004020081,25015.00000000,-76.55366528,38.98272009,AADT,02000RP00595  02WWIS21        11,Ramp 11 Fr Is 595 Wb To Is 595 Wb,Anne Arundel,Exit 21 Ramp 11 Fr Is 595 Wb To Is 595 Wb,S2004020081,138
B080104,632.00000000,-76.96219056,38.50350639,AADT,08000CO00494  01NN**************,Glen Albin Rd,Charles,Glen Albin Rd-.10 Mi N Of Springhill Newtown Rd,B080104,139
S2010030117,1301.00000000,-76.71661988,39.30261814,AADT,03000RP00070  02WWIS93        01,Ramp 1 Fr Ingleside Ave To Ramp 8,Baltimore,Exit 93 Ramp 1 Fr Ingleside Ave To Ramp 8 (to Is 70 Wb),S2010030117,140
