epoch,train_contrastive,train_kl,train_loss,train_reconstruction,val_kl,val_loss,val_reconstruction
40.0,0.00124298453473867,54.797124949368566,26.01384735107422,24.369622707366943,54.61469650268555,32.19813537597656,30.559696197509766
41.0,0.001199996235134842,54.784093770113856,25.745640234513715,24.101817434484307,53.91708755493164,32.08554458618164,30.46803092956543
42.0,0.0012093124493152243,54.53571336919611,25.401941256089643,23.76556769284335,54.06740951538086,31.919647216796875,30.297624588012695
43.0,0.0012129837572997944,54.382333582097836,25.105671232396904,23.47389793395996,54.14603805541992,31.82465362548828,30.200273513793945
44.0,0.001169178867712617,54.141891652887516,24.813261899081144,23.188712813637473,53.1007194519043,31.484912872314453,29.891891479492188
45.0,0.0011279349286765369,53.724149443886496,24.478695089166816,22.86668872833252,53.05815887451172,31.292875289916992,29.701129913330078
46.0,0.0010278830635467205,53.3196158842607,24.196411436254326,22.59656607020985,52.60639953613281,31.1256103515625,29.54741859436035
47.0,0.001100609450738623,52.97460105202415,23.900075002150103,22.310561873696066,52.49824905395508,31.26842498779297,29.693477630615234
48.0,0.001044239832977341,52.78964805603027,23.63820916956121,22.05425886674361,52.312686920166016,30.904273986816406,29.33489418029785
49.0,0.0010678185472815212,52.54422031749379,23.346741199493408,21.77014749700373,51.879905700683594,30.699979782104492,29.143583297729492
50.0,0.0010388550912135872,52.46186048334295,23.133350415663287,21.559234965931285,51.904457092285156,30.60582733154297,29.04869270324707
51.0,0.0010736406151078302,52.338855656710535,22.884545369581744,21.31411110271107,51.77063751220703,30.463735580444336,28.910615921020508
