pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_8---act_18	13	52	16	9	0	5	0	0	0	13	31	3	5
act_8---act_2	149	172	115	119	70	23	34	17	11	25	9	0	13
act_8---act_3	3	21	0	10	0	2	0	0	0	0	0	0	0
act_8---act_4	0	0	0	0	9	0	0	0	0	0	0	0	0
act_8---act_5	412	224	133	57	48	7	7	0	0	0	0	0	0
act_8---act_6	88	31	14	7	2	4	3	0	0	0	0	0	0
act_8---act_7	72	45	63	11	20	3	0	15	2	0	0	0	0
act_8---act_8	5	2	10	0	0	0	8	0	0	0	0	0	0
act_8---act_9	8	5	26	4	3	0	0	0	0	0	0	0	0
act_9---act_1	160	542	675	432	217	100	95	62	0	0	1	22	12
act_9---act_10	37	112	62	24	10	0	0	0	0	0	0	0	0
act_9---act_11	10	16	29	18	2	9	0	0	0	0	10	0	0
act_9---act_12	8	29	6	2	0	0	0	0	0	0	0	0	0
act_9---act_13	12	23	12	3	0	0	0	0	0	0	0	0	0
act_9---act_14	0	0	0	0	24	2	0	0	0	0	0	0	0
act_9---act_15	14	15	5	0	0	0	0	0	0	0	0	0	0
act_9---act_16	23	26	54	32	25	3	0	2	0	0	0	0	0
act_9---act_18	15	30	3	0	10	7	0	0	0	0	0	0	0
act_9---act_2	32	130	75	52	45	17	31	0	0	2	5	0	0
act_9---act_3	2	2	19	0	0	0	0	0	0	0	0	0	0
act_9---act_5	280	394	208	70	70	14	30	3	2	16	0	0	0
act_9---act_6	81	29	26	15	4	1	0	0	0	0	0	0	0
act_9---act_7	184	121	12	29	11	20	0	0	0	3	0	3	0
act_9---act_8	6	33	42	11	18	29	8	0	0	0	0	0	0
act_9---act_9	108	47	21	0	15	0	0	5	0	3	0	0	0

average leg duration: 840.34887264283 seconds = 00:14:00
