state_code,station_id,direction,latitude,longitude,route,location_text,source_file
24,0P0090,1,39408619,76729504,3,MD 129 - .18 Mile South of MD 130 (ATR#90)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0028,1,0,0,2,US 301 - .11 Mile South of MD 304 (ATR#28)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0031,7,39417780,76655913,1,IS 83/IS 695 - .35 Mile East of Joppa Rd (ATR#31 O,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0034,1,39363062,76507185,1,IS 695 - .59 Mile North of US 1 (Belair Rd) (ATR#3,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0037,1,38013839,75543754,2,US 13 - .10 Mile North of Bunting Rd (ATR#37)     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0041,3,39018199,76991452,1,IS 495 - .82 Mile West of MD 650 (ATR#41)         ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0004,1,39205029,77271186,1,IS 270 - 2.0 Miles South of MD 121 (ATR#04)       ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0045,7,39688004,78119969,1,IS 70 - .52 Mile East of MD 615 Structure #21062 (,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0048,1,39070561,76957402,2,US 29 - .22 Mile South of Fairland Rd (ATR#48 OBSO,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0009,1,38423943,75564374,2,US 13 - 100ft North of Leonards Mill Pond Bridge (,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0048,5,39070561,76957402,2,US 29 - .22 Mile South of Fairland Rd (ATR#48 OBSO,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0011,1,39511472,76374544,2,US 1BU - .06 Mile South of Old Joppa Rd (ATR#11)  ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0014,1,39284112,76877762,2,.06 MI W OF CEMETERY RD                           ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0050,1,39405538,76671258,1,IS 695 - 1.16 Miles North of Greenspring Ave (ATR#,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0024,1,38955895,76678984,1,I E OF PRINCE GEORGES COUNTY LINE                 ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0057,7,39347361,76461539,2,US 40 - .46 Mile East of MD 700 (ATR#57)          ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0025,1,39161077,76739810,3,MD 295(NB) - .81 South of MD 100 (ATR#25 Includes ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0058,5,39492502,75843160,3,MD 213 - .49 Mile North of MD 310 (ATR#58)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0066,1,39209056,76694849,1,IS 195 - .59 Mile North of MD 295 (ATR#66)        ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
24,0P0027,5,39540815,76666332,1,IS 83 - .50 mile South of Belfast Rd (ATR#27)     ,Station_Data_Extract_Pipe_Delimited_CleanData_2018.txt
