pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
act_8---act_5	310	198	111	44	12	5	5	3	10	5	0	6	0
act_8---act_6	71	34	18	0	0	0	3	0	0	0	0	0	0
act_8---act_7	59	11	37	3	1	0	0	0	0	0	0	0	0
act_8---act_9	39	10	0	0	7	0	0	0	0	0	0	0	0
act_9---act_1	235	474	424	141	93	132	71	34	6	22	4	0	0
act_9---act_10	34	17	40	14	0	2	9	1	0	0	0	0	0
act_9---act_11	12	10	6	13	2	10	2	0	0	0	0	0	0
act_9---act_12	5	15	11	0	0	0	0	0	0	0	0	0	0
act_9---act_13	7	13	9	0	0	0	0	0	0	0	0	0	0
act_9---act_14	2	3	0	8	0	0	0	0	0	0	0	0	0
act_9---act_16	37	42	19	42	9	8	0	0	0	0	4	0	0
act_9---act_18	37	49	18	37	0	5	0	0	0	0	0	0	0
act_9---act_2	14	41	35	63	40	24	39	4	0	6	0	0	0
act_9---act_3	5	0	12	0	0	0	0	0	0	0	0	0	0
act_9---act_4	0	0	0	0	0	14	0	0	0	0	0	0	0
act_9---act_5	311	248	170	98	21	14	2	0	0	0	0	0	0
act_9---act_6	85	68	11	0	4	9	29	8	0	0	0	0	0
act_9---act_7	136	61	14	31	14	6	3	5	0	0	0	0	0
act_9---act_8	24	39	8	6	9	2	5	6	0	0	0	0	0
act_9---act_9	40	27	23	8	0	0	0	0	0	0	0	0	0

average leg duration: 789.6406732339461 seconds = 00:13:09
