o_activity,o_tpb_taz,d_activity,d_tpb_taz,departure_time_min,travel_mode,transit_access_mode,transit_egress_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,subway_used,subway_pay,subway_station_board,subway_access_mode,subway_station_exit,subway_egress_mode,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tpb_taz,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_days,tdate_dow,hhtrips,package_delivered,food_delivered,service_delivered,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,j1_workplace_loc,work_tpb_taz,j1_commute_mode,j1_telecommute,j1_telecommute_days,j1_benefits_free_parking,j1_benefits_parking,j1_benefits_transit,j1_benefits_carpool,j1_benefits_walking_biking,j1_benefits_ev_charging,j1_benefits_bicycle_parking,j1_benefits_none,student_status,school_type,school_tpb_taz,school_freq,school_mode,volunteer_status,td_telecommute_time,td_shop_time,person_tripcount,walk_bike_loop_trips
5,3435,5,3435,915,4,,,1,0,1,2,,,,,,,,,,0.1586816544,10,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
5,3435,5,3569,945,4,,,1,0,1,,,,,,,,,,,0.6589445048,5,,,,,,,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
5,3569,5,3568,970,4,,,1,0,1,3,,,,,,,,,,0.4146598271,10,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
5,3568,5,3439,1015,4,,,1,0,1,2,,,,,,,,,,2.3960245175,25,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
5,3439,6,3515,1060,4,,,1,0,1,4,,,,,,,,,,2.1039280163,15,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
6,3515,10,3439,1085,4,,,1,0,1,2,,,,,,,,,,2.1213698152,20,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
10,3439,1,3446,1110,4,,,1,0,1,1,,,,,,,,,,1.944363478,25,2012.0,2.0,Honda,Odyssey,1.0,1.0,3446,1,1,2,0,2,0,0,2,1,0,6,340,4,12,1,0,0,128.0,79,1,4,2,1,2,1,1,,,,9,,,,,,,,,,,0,,,,,2,0,3,12,1
1,3663,2,440,535,4,,,1,0,1,2,,,,,,,,,,35.428332912,75,2010.0,1.0,Hyundai,Genesis,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,65,2,4,2,1,2,1,0,1,1,440,3,2,,1,0,0,0,0,0,0,0,0,,,,,1,0,0,2,0
2,440,1,3663,1240,4,,,1,0,1,1,,,,,,,,,,35.428332912,70,2010.0,1.0,Hyundai,Genesis,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,65,2,4,2,1,2,1,0,1,1,440,3,2,,1,0,0,0,0,0,0,0,0,,,,,1,0,0,2,0
1,3663,16,3664,540,4,,,3,0,3,4,,,,,,,,,,5.4587959882,10,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,37,1,4,2,1,2,1,2,,,,9,,,,,,,,,,,0,,,,,2,0,0,9,0
16,3664,16,3669,555,4,,,2,0,2,2,,,,,,,,,,9.3889970992,20,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,37,1,4,2,1,2,1,2,,,,9,,,,,,,,,,,0,,,,,2,0,0,9,0
16,3669,7,3665,600,4,,,1,1,2,2,,,,,,,,,,3.2491943073,10,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,37,1,4,2,1,2,1,2,,,,9,,,,,,,,,,,0,,,,,2,0,0,9,0
7,3665,5,3665,670,4,,,1,1,2,2,,,,,,,,,,0.2237528044,5,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,37,1,4,2,1,2,1,2,,,,9,,,,,,,,,,,0,,,,,2,0,0,9,0
5,3665,16,3669,735,4,,,1,1,2,2,,,,,,,,,,3.2363482801,10,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,37,1,4,2,1,2,1,2,,,,9,,,,,,,,,,,0,,,,,2,0,0,9,0
16,3669,16,3672,755,4,,,2,1,3,4,,,,,,,,,,10.617429855,20,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,37,1,4,2,1,2,1,2,,,,9,,,,,,,,,,,0,,,,,2,0,0,9,0
16,3672,1,3663,780,4,,,2,0,2,1,,,,,,,,,,6.1096469133,10,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,37,1,4,2,1,2,1,2,,,,9,,,,,,,,,,,0,,,,,2,0,0,9,0
1,3663,16,3664,975,4,,,2,0,2,4,,,,,,,,,,5.4587959882,10,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,37,1,4,2,1,2,1,2,,,,9,,,,,,,,,,,0,,,,,2,0,0,9,0
16,3664,1,3663,1000,4,,,3,0,3,1,,,,,,,,,,5.4587959882,10,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,37,1,4,2,1,2,1,2,,,,9,,,,,,,,,,,0,,,,,2,0,0,9,0
1,3663,4,3664,540,5,,,3,0,,4,,,,,,,,,,5.4587959882,10,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,8,2,4,2,2,2,,,,,,9,,,,,,,,,,,1,2,3664,1,4,,0,0,2,
4,3664,1,3663,1000,5,,,3,0,,1,,,,,,,,,,5.4587959882,10,2017.0,3.0,Hyundai,Santa Fe,1.0,1.0,3663,1,1,4,2,2,1,0,2,2,0,7,310,2,19,0,0,0,170.0,8,2,4,2,2,2,,,,,,9,,,,,,,,,,,1,2,3664,1,4,,0,0,2,
1,1575,13,1589,280,4,,,1,0,1,2,0,,,,,,,,,2.2598436828,10,2017.0,3.0,Toyota,RAV4,1.0,1.0,1575,2,2,2,0,2,2,0,2,2,4,8,302,1,9,0,0,0,72.0,29,1,4,2,1,2,1,0,2,1,1579,3,1,0,1,0,0,0,0,1,0,0,0,,,,,1,8,1,4,0
13,1589,18,1596,390,4,,,1,0,1,2,0,,,,,,,,,2.4148881984,10,2017.0,3.0,Toyota,RAV4,1.0,1.0,1575,2,2,2,0,2,2,0,2,2,4,8,302,1,9,0,0,0,72.0,29,1,4,2,1,2,1,0,2,1,1579,3,1,0,1,0,0,0,0,1,0,0,0,,,,,1,8,1,4,0
18,1596,2,1579,410,4,,,1,0,1,2,0,,,,,,,,,0.8171808493,10,2017.0,3.0,Toyota,RAV4,1.0,1.0,1575,2,2,2,0,2,2,0,2,2,4,8,302,1,9,0,0,0,72.0,29,1,4,2,1,2,1,0,2,1,1579,3,1,0,1,0,0,0,0,1,0,0,0,,,,,1,8,1,4,0
2,1579,1,1575,1060,4,,,1,0,1,3,0,,,,,,,,,2.1213904206,10,2017.0,3.0,Toyota,RAV4,1.0,1.0,1575,2,2,2,0,2,2,0,2,2,4,8,302,1,9,0,0,0,72.0,29,1,4,2,1,2,1,0,2,1,1579,3,1,0,1,0,0,0,0,1,0,0,0,,,,,1,8,1,4,0
