o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_minutes,reported_travel_time,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,year,vehicle,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_week,tdate_dow,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status,weight
8,24021752303,1,24001000200,1084,98,4,1,0,1,1,-1,-1,-1,103.285,2015.0,"(Volkswagen, Passat, 1.0, 2.0)",2.0,24001000200,1,1,2,1,1,1,1,2,0,1,8,81,4,47,1,1,2,1,2,1,0,1,-1,0,1,133.612035607087
1,24001000300,2,24001001200,538,15,4,1,0,1,2,-1,-1,-1,4.022,2007.0,"(Subaru, Forester, 3.0, 1.0)",2.0,24001000300,1,1,2,0,2,1,0,2,0,0,4,82,2,72,2,1,2,1,2,2,0,1,24001001200,0,1,133.612035607087
2,24001001200,1,24001000300,1077,12,4,1,0,1,2,-1,-1,-1,4.049,2007.0,"(Subaru, Forester, 3.0, 1.0)",2.0,24001000300,1,1,2,0,2,1,0,2,0,0,4,82,2,72,2,1,2,1,2,2,0,1,24001001200,0,1,133.612035607087
1,24001000300,9,24001000600,510,10,4,1,0,1,2,-1,-1,-1,3.956,2013.0,"(Toyota, RAV4, 3.0, 1.0)",2.0,24001000300,1,1,2,0,2,1,0,2,0,0,4,82,2,68,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
9,24001000600,5,24001000600,585,11,4,1,0,1,2,-1,-1,-1,1.834,2013.0,"(Toyota, RAV4, 3.0, 1.0)",2.0,24001000300,1,1,2,0,2,1,0,2,0,0,4,82,2,68,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
5,24001000600,1,24001000300,620,7,4,1,0,1,2,-1,-1,-1,2.167,2013.0,"(Toyota, RAV4, 3.0, 1.0)",2.0,24001000300,1,1,2,0,2,1,0,2,0,0,4,82,2,68,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001000300,10,24001001100,920,10,4,1,0,1,2,-1,-1,-1,1.593,2013.0,"(Toyota, RAV4, 3.0, 1.0)",2.0,24001000300,1,1,2,0,2,1,0,2,0,0,4,82,2,68,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
10,24001001100,1,24001000300,945,15,4,1,0,1,2,-1,-1,-1,1.66,2013.0,"(Toyota, RAV4, 3.0, 1.0)",2.0,24001000300,1,1,2,0,2,1,0,2,0,0,4,82,2,68,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001000300,10,24001001000,550,10,4,1,0,1,2,-1,-1,-1,3.704,2014.0,"(Toyota, Corolla, 1.0, 1.0)",2.0,24001000300,1,1,1,0,1,0,0,1,0,0,-1,83,2,80,1,1,2,1,2,2,1,0,-1,0,1,138.115796886603
10,24001001000,1,24001000300,565,15,4,1,0,1,1,-1,-1,-1,2.939,2014.0,"(Toyota, Corolla, 1.0, 1.0)",2.0,24001000300,1,1,1,0,1,0,0,1,0,0,-1,83,2,80,1,1,2,1,2,2,1,0,-1,0,1,138.115796886603
1,24001000300,7,24001001401,670,15,5,1,1,2,-1,-1,-1,-1,8.242,-1,"(-1, -1, -1, -1)",-1,24001000300,1,1,1,0,1,0,0,1,0,0,-1,83,2,80,1,1,2,1,2,2,1,0,-1,0,1,138.115796886603
7,24001001401,1,24001000300,755,30,5,1,1,2,-1,-1,-1,-1,8.774,-1,"(-1, -1, -1, -1)",-1,24001000300,1,1,1,0,1,0,0,1,0,0,-1,83,2,80,1,1,2,1,2,2,1,0,-1,0,1,138.115796886603
2,24001000400,10,24001001000,607,9,4,1,0,1,4,-1,-1,-1,1.668,2008.0,"(Lexus, RX330/350/400h/450h, 3.0, 4.0)",2.0,24001000400,1,1,2,0,1,2,1,2,0,5,8,83,2,53,1,1,2,1,2,1,0,2,-1,0,1,133.612035607087
10,24001001000,6,24001000500,750,10,4,1,0,1,2,-1,-1,-1,1.498,2008.0,"(Lexus, RX330/350/400h/450h, 3.0, 4.0)",2.0,24001000400,1,1,2,0,1,2,1,2,0,5,8,83,2,53,1,1,2,1,2,1,0,2,-1,0,1,133.612035607087
6,24001000500,2,24001000400,775,5,4,1,0,1,1,-1,-1,-1,0.891,2008.0,"(Lexus, RX330/350/400h/450h, 3.0, 4.0)",2.0,24001000400,1,1,2,0,1,2,1,2,0,5,8,83,2,53,1,1,2,1,2,1,0,2,-1,0,1,133.612035607087
2,24001000400,10,24001001401,840,15,4,1,0,1,2,-1,-1,-1,7.843,2014.0,"(Toyota, Sienna, 2.0, 1.0)",2.0,24001000400,1,1,2,0,1,2,1,2,0,5,8,83,2,53,1,1,2,1,2,1,0,2,-1,0,1,133.612035607087
10,24001001401,16,24001000600,865,10,4,1,0,1,3,-1,-1,-1,7.051,2014.0,"(Toyota, Sienna, 2.0, 1.0)",2.0,24001000400,1,1,2,0,1,2,1,2,0,5,8,83,2,53,1,1,2,1,2,1,0,2,-1,0,1,133.612035607087
16,24001000600,10,54057010200,885,15,4,1,1,2,1,-1,-1,-1,7.24,2014.0,"(Toyota, Sienna, 2.0, 1.0)",2.0,24001000400,1,1,2,0,1,2,1,2,0,5,8,83,2,53,1,1,2,1,2,1,0,2,-1,0,1,133.612035607087
10,54057010200,16,24001000600,935,15,4,1,1,2,3,-1,-1,-1,7.063,2014.0,"(Toyota, Sienna, 2.0, 1.0)",2.0,24001000400,1,1,2,0,1,2,1,2,0,5,8,83,2,53,1,1,2,1,2,1,0,2,-1,0,1,133.612035607087
16,24001000600,2,24001000400,951,7,4,1,0,1,1,-1,-1,-1,2.072,2014.0,"(Toyota, Sienna, 2.0, 1.0)",2.0,24001000400,1,1,2,0,1,2,1,2,0,5,8,83,2,53,1,1,2,1,2,1,0,2,-1,0,1,133.612035607087
1,24001000500,7,24001001402,850,35,4,1,0,1,2,-1,-1,-1,5.567,2004.0,"(Pontiac, Grand Prix (FWD), 1.0, 1.0)",2.0,24001000500,1,1,1,0,1,0,0,1,0,0,3,72,5,78,1,1,2,1,2,2,1,0,-1,0,1,138.115796886603
7,24001001402,5,24001000600,920,30,4,1,0,1,2,-1,-1,-1,5.043,2004.0,"(Pontiac, Grand Prix (FWD), 1.0, 1.0)",2.0,24001000500,1,1,1,0,1,0,0,1,0,0,3,72,5,78,1,1,2,1,2,2,1,0,-1,0,1,138.115796886603
5,24001000600,11,24001000500,995,12,4,1,0,1,1,-1,-1,-1,0.828,2004.0,"(Pontiac, Grand Prix (FWD), 1.0, 1.0)",2.0,24001000500,1,1,1,0,1,0,0,1,0,0,3,72,5,78,1,1,2,1,2,2,1,0,-1,0,1,138.115796886603
1,24001000500,10,24001001200,840,9,4,1,1,2,2,-1,-1,-1,2.977,2008.0,"(Ford, Medium/Heavy Â­ COE low entry, 4.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,65,2,1,2,1,2,1,1,0,-1,0,1,133.612035607087
10,24001001200,1,24001001401,853,8,4,1,0,1,1,-1,-1,-1,5.311,2008.0,"(Ford, Medium/Heavy Â­ COE low entry, 4.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,65,2,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001001401,6,24001001401,940,3,4,1,0,1,2,-1,-1,-1,0.906,2008.0,"(Ford, Medium/Heavy Â­ COE low entry, 4.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,65,2,1,2,1,2,1,1,0,-1,0,1,133.612035607087
6,24001001401,1,24001000500,949,11,4,1,0,1,1,-1,-1,-1,5.612,2008.0,"(Ford, Medium/Heavy Â­ COE low entry, 4.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,65,2,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001000500,1,24001001401,1077,10,4,1,0,1,1,-1,-1,-1,6.026,2008.0,"(Ford, Medium/Heavy Â­ COE low entry, 4.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,65,2,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001001401,1,24001000500,1110,10,4,1,0,1,1,-1,-1,-1,5.652,2008.0,"(Ford, Medium/Heavy Â­ COE low entry, 4.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,65,2,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001000500,9,24001000500,724,3,4,1,0,1,2,-1,-1,-1,0.983,2017.0,"(Honda, CR-V, 3.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,67,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
9,24001000500,1,24001000500,774,3,4,1,0,1,1,-1,-1,-1,1.021,2017.0,"(Honda, CR-V, 3.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,67,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001000500,10,24001001401,918,14,4,1,0,1,2,-1,-1,-1,7.811,2017.0,"(Honda, CR-V, 3.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,67,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
10,24001001401,1,24001000500,1026,11,4,1,0,1,1,-1,-1,-1,7.415,2017.0,"(Honda, CR-V, 3.0, 1.0)",2.0,24001000500,1,1,2,0,2,0,0,2,0,2,5,80,3,67,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
1,24001000600,7,24001000800,840,10,5,1,1,2,-1,-1,-1,-1,1.155,-1,"(-1, -1, -1, -1)",-1,24001000600,1,2,1,0,0,0,1,0,0,0,1,73,5,54,2,1,2,2,1,2,7,0,-1,0,1,138.115796886603
7,24001000800,10,24001001000,960,10,5,1,1,2,-1,-1,-1,-1,1.342,-1,"(-1, -1, -1, -1)",-1,24001000600,1,2,1,0,0,0,1,0,0,0,1,73,5,54,2,1,2,2,1,2,7,0,-1,0,1,138.115796886603
10,24001001000,5,24001001000,990,15,5,1,1,2,-1,-1,-1,-1,1.975,-1,"(-1, -1, -1, -1)",-1,24001000600,1,2,1,0,0,0,1,0,0,0,1,73,5,54,2,1,2,2,1,2,7,0,-1,0,1,138.115796886603
5,24001001000,1,24001000600,1080,10,5,1,1,2,-1,-1,-1,-1,1.73,-1,"(-1, -1, -1, -1)",-1,24001000600,1,2,1,0,0,0,1,0,0,0,1,73,5,54,2,1,2,2,1,2,7,0,-1,0,1,138.115796886603
12,24001000600,10,24001001000,600,10,4,1,0,1,2,-1,-1,-1,1.574,2008.0,"(Toyota, Avalon, 1.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,69,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
10,24001001000,5,24001000600,615,5,4,1,0,1,2,-1,-1,-1,0.716,2008.0,"(Toyota, Avalon, 1.0, 1.0)",2.0,24001000600,1,1,2,0,2,0,1,2,0,0,5,70,5,69,1,1,2,1,2,1,1,0,-1,0,1,133.612035607087
