o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_minutes,reported_travel_time,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,year,vehicle,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_week,tdate_dow,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status,weight
1,51107610101,2,51107611900,405,40,4,1,0,1,2,-1,-1,1,25.87648929,2016.0,"(Lincoln, MKX, 3.0, 1.0)",2.0,51107610101,1,1,3,0,3,3,0,5,1,2,7,56,4,52,2,4,2,1,2,1,0,1,51107611900,0,1,184.0
2,51059430203,1,51600300300,990,20,4,1,0,1,1,-1,-1,-1,3.4684907965,2014.0,"(Dodge, Charger, 1.0, 1.0)",1.0,51600300300,1,1,3,1,3,2,0,4,2,2,8,55,3,55,1,4,2,1,2,1,0,1,51059430203,0,1,108.0
16,24003751103,5,24003750804,932,6,4,1,1,2,2,-1,-1,-1,2.19,2018.0,"(Chevrolet, Trax, 3.0, 1.0)",2.0,24003751102,3,1,1,0,1,0,0,1,0,1,5,121,2,75,1,1,2,1,2,1,1,0,-1,0,1,126.936325097249
1,24031700724,5,24031700816,1165,10,4,3,0,3,2,-1,-1,-1,0.5517382393,2016.0,"(Toyota, Corolla, 1.0, 1.0)",1.0,24031700724,3,2,3,0,1,1,0,1,1,0,6,72,4,33,2,3,2,1,2,1,0,1,11001001002,0,1,134.0
2,11001010800,2,51013101500,790,15,4,1,1,2,2,-1,-1,-1,4.239817775,2009.0,"(Honda, Odyssey, 2.0, 1.0)",1.0,24031705901,1,1,1,0,1,1,0,1,1,2,8,94,3,62,1,4,2,1,2,1,0,1,11001010800,0,1,235.0
1,24013505203,6,24013505203,1046,11,4,2,0,2,2,-1,-1,-1,1.166,2014.0,"(Cadillac , SRX, 3.0, 1.0)",2.0,24013505203,1,1,3,2,2,1,0,1,0,2,7,72,5,47,1,1,2,1,2,1,0,1,24003751200,0,1,38.6903736323851
1,51059470600,18,51059470500,600,5,4,1,0,1,2,-1,-1,-1,0.303987801,2017.0,"(Toyota, Highlander, 3.0, 1.0)",1.0,51059470600,1,1,3,0,3,0,0,3,3,1,8,53,5,68,2,4,2,1,2,1,1,0,-1,0,2,145.0
7,51177020306,5,51177020306,1250,5,4,2,0,2,2,-1,-1,-1,0.5509593578,2018.0,"(Hyundai, Elantra, 1.0, 1.0)",2.0,51177020310,1,2,2,0,2,2,0,3,0,0,6,76,5,30,2,4,2,1,2,1,0,1,51099040100,0,1,181.0
10,24003740701,1,24003740702,900,10,5,2,0,2,-1,-1,-1,-1,2.871,2017.0,"(Jaguar, XK-E, 1.0, 1.0)",1.0,24003740702,1,1,2,0,2,1,1,2,2,0,8,70,5,73,1,1,2,1,1,1,1,0,-1,0,1,34.7624234948834
1,51153901236,2,51153900100,1110,20,4,1,0,1,2,-1,-1,-1,7.1698154748,2012.0,"(Mitsubishi, Outlander, 3.0, 1.0)",2.0,51153901236,1,1,3,1,3,3,0,4,1,3,8,80,1,19,1,1,1,1,2,1,0,1,51153901225,1,2,237.0
1,24027603001,9,24027605602,540,30,4,1,0,1,2,-1,-1,-1,15.339,2012.0,"(Ford, F-Series pickup, 4.0, 1.0)",2.0,24027603001,1,1,2,0,2,2,0,3,0,3,6,96,2,66,2,1,2,1,2,1,0,1,-1,0,1,99.9725389734308
16,51059460800,7,51059471100,1371,9,4,1,0,1,2,-1,-1,-1,3.683,2014.0,"(Subaru, Legacy/Outback, 1.0, 1.0)",1.0,24005401507,3,2,1,0,1,1,0,1,1,1,4,118,2,47,2,1,2,1,2,1,0,2,-1,0,1,284.577205286773
6,24003740304,11,24003740900,815,10,4,1,0,1,1,-1,-1,-1,1.136,2018.0,"(Hyundai, Tucson, 3.0, 1.0)",1.0,24003741000,1,1,2,0,2,2,0,2,1,2,7,122,1,30,2,1,2,1,2,1,0,1,-1,0,1,81.1300410146626
5,24033806713,1,24033806706,1125,10,4,2,0,2,1,-1,-1,-1,0.9457960215,2015.0,"(Chevrolet, Cruze, 1.0, 1.0)",1.0,24033806706,3,1,2,0,2,2,0,2,2,0,8,61,4,37,2,4,2,1,2,2,0,1,24027606707,0,1,182.0
18,51013103402,7,51510201801,575,5,4,1,0,1,2,-1,-1,-1,1.3852230389,2005.0,"(Chevrolet, Cobalt, 1.0, 1.0)",1.0,51013103503,3,1,1,0,1,0,1,1,1,0,7,75,5,85,2,4,2,1,1,2,1,0,-1,0,1,32.0
7,24029950300,1,24029950300,1165,3,5,2,0,2,-1,-1,-1,-1,2.777,2016.0,"(Chevrolet, Silverado, 4.0, 1.0)",1.0,24029950300,1,1,2,0,2,2,0,6,3,2,8,95,1,65,1,1,2,1,2,1,0,1,36103134906,0,1,192.619573432845
1,24037876200,8,24037875901,480,10,4,1,0,1,2,-1,-1,-1,3.476265073,2002.0,"(Ford, Taurus, 1.0, 1.0)",2.0,24037876200,3,2,3,0,2,1,1,1,0,0,3,49,5,50,2,2,2,1,1,2,7,0,-1,0,1,318.0
5,24031701421,6,24033807000,1170,15,4,1,0,1,2,-1,-1,-1,4.8561018996,2011.0,"(Toyota, Prius, 1.0, 4.0)",2.0,24033807305,1,1,2,0,1,2,1,1,0,0,6,78,4,51,1,2,2,1,2,1,0,1,24033807200,0,1,122.0
