o_activity,o_tract_fips,d_activity,d_tract_fips,departure_time_hhmm,arrival_time_hhmm,travel_mode,travelers_hh,travelers_nonhh,vehicle_occupancy,park_loc,park_pay,hov_used,toll_road_used,distance,reported_travel_time,year,bodytype,make,model,fueltype,tolltransponder,home_tract_fips,home_type,home_ownership,hhsize,numstudents,numdrivers,numworkers,numdisabilities,numvehicle,numvehicle_transponder,numbicycle,hh_income_detailed,tdate_string,tdate_dow,wthhfin,age,gender,race_ethnicity,race_ethnicity_hispanic,license,disability,smartphone,employment_status,jobs_count,work_tract_fips,student_status,volunteer_status
7,24027605402,1,24027606603,21:17,21:30,5,2,0,2,,,,,3.263,13,2008.0,1.0,Honda,CR-V,1.0,1.0,24027606603,1,1,2,0,2,1,0,2,2,0,7,2018-07-11,3,115.268095992554,68,1,1,2,1,2,1,0,1,24027605402,0,
2,11001006202,5,24033802901,17:00,17:35,4,1,0,1,2,,,,8.8669167512,35,2012.0,1.0,Honda,Civic,1.0,2.0,11001007807,3,2,1,0,1,1,0,1,0,0,2,2018-04-20,5,112.0,61,1,2,2,1,2,1,0,1,11001006202,0,2
2,51177020306,1,51177020201,20:30,20:50,4,1,0,1,1,,,,5.0829863012,20,2014.0,3.0,Jeep,Patriot,1.0,1.0,51177020201,1,1,2,0,2,2,0,2,1,4,1,2018-01-08,1,182.0,41,1,4,2,1,2,1,0,1,51177020306,0,2
1,51107610601,2,51059490103,05:30,06:05,4,1,0,1,2,,,,20.324467593,35,2009.0,1.0,Honda,Accord,1.0,1.0,51107610601,1,1,3,1,3,3,0,5,2,3,8,2018-03-22,4,184.0,54,2,4,2,1,2,2,0,1,51059490103,0,1
1,51059430901,16,51059430400,07:05,07:10,4,2,0,2,,,,,2.6146515405,5,2007.0,1.0,Chevrolet,Cobalt,1.0,1.0,51059430901,1,1,4,0,4,1,0,3,2,4,8,2018-04-26,4,390.0,71,2,4,2,1,2,1,1,,,0,2
1,24043011500,2,24031700311,06:00,07:00,4,1,0,1,2,,,,41.288,60,2014.0,1.0,Subaru,Legacy/Outback,1.0,2.0,24043011500,1,1,1,0,1,1,0,2,0,5,6,2019-01-31,4,107.520669674879,51,1,1,2,1,2,1,0,1,24031700311,0,
1,24025301301,10,24025301301,08:30,08:42,5,2,0,2,,,,,0.915,12,2001.0,1.0,BMW,7-series,1.0,2.0,24025301301,1,1,2,0,2,0,0,3,0,2,6,2018-07-06,5,59.2791500325225,88,1,1,2,1,2,1,1,,,0,1
5,51107611801,1,51107611804,12:45,12:55,4,2,0,2,1,,,,2.2386190709,10,2004.0,1.0,Dodge,Intrepid,1.0,2.0,51107611804,1,1,2,0,2,0,0,1,0,0,4,2017-12-21,4,139.0,82,2,4,2,1,2,1,1,,,0,1
4,24001001000,10,24001000800,10:55,11:00,4,2,2,4,2,0,,,0.29,5,2014.0,2.0,Chevrolet,Medium/Heavy Van-Based Vehicle,1.0,2.0,24001002200,1,1,4,3,2,1,1,6,1,3,5,2018-11-30,5,248.22078271529,44,1,1,2,1,2,1,6,,,1,1
3,51059430802,1,51059430802,15:35,15:40,4,1,0,1,1,,,,2.0802648602,5,2016.0,1.0,Honda,Fit,1.0,1.0,51059430802,1,1,5,3,3,2,0,3,1,1,8,2017-11-16,4,675.0,48,2,4,2,1,2,1,0,1,,0,1
5,24013505101,1,24013514100,16:01,16:08,4,2,0,2,1,0,,,2.55,7,2017.0,3.0,Mazda,CX-5,1.0,1.0,24013514100,1,1,2,0,2,0,0,2,2,2,8,2019-01-11,5,89.7364495717512,57,1,1,2,1,2,1,1,,,0,1
5,24025305100,1,24025305100,16:05,16:10,4,1,0,1,1,,,,1.197,5,2012.0,1.0,Chevrolet,Impala,1.0,2.0,24025305100,1,2,1,0,1,1,0,1,0,0,2,2019-02-18,1,191.202490980795,58,1,1,2,1,2,1,0,1,24025303803,0,
