column,value,count,percentage
o_tpb_taz,2985,83,0.074234%
o_tpb_taz,3265,83,0.074234%
o_tpb_taz,3250,83,0.074234%
o_tpb_taz,1549,83,0.074234%
o_tpb_taz,184,83,0.074234%
o_tpb_taz,1570,83,0.074234%
o_tpb_taz,2302,83,0.074234%
o_tpb_taz,1539,83,0.074234%
o_tpb_taz,1842,82,0.073340%
o_tpb_taz,1902,82,0.073340%
o_tpb_taz,3191,82,0.073340%
o_tpb_taz,2748,82,0.073340%
o_tpb_taz,3082,81,0.072446%
o_tpb_taz,3079,81,0.072446%
o_tpb_taz,2914,81,0.072446%
o_tpb_taz,2019,81,0.072446%
o_tpb_taz,2028,81,0.072446%
o_tpb_taz,622,81,0.072446%
o_tpb_taz,2632,81,0.072446%
o_tpb_taz,1823,81,0.072446%
o_tpb_taz,287,81,0.072446%
o_tpb_taz,3062,80,0.071551%
o_tpb_taz,194,80,0.071551%
o_tpb_taz,155,80,0.071551%
o_tpb_taz,1879,80,0.071551%
o_tpb_taz,684,80,0.071551%
o_tpb_taz,1737,80,0.071551%
o_tpb_taz,250,80,0.071551%
o_tpb_taz,3378,80,0.071551%
o_tpb_taz,893,79,0.070657%
o_tpb_taz,3302,79,0.070657%
o_tpb_taz,2820,79,0.070657%
o_tpb_taz,142,79,0.070657%
o_tpb_taz,1596,79,0.070657%
o_tpb_taz,1989,79,0.070657%
o_tpb_taz,1460,78,0.069762%
o_tpb_taz,2341,78,0.069762%
o_tpb_taz,1102,77,0.068868%
o_tpb_taz,2989,77,0.068868%
o_tpb_taz,21,77,0.068868%
o_tpb_taz,917,77,0.068868%
o_tpb_taz,901,77,0.068868%
o_tpb_taz,1986,77,0.068868%
o_tpb_taz,185,77,0.068868%
o_tpb_taz,2765,77,0.068868%
o_tpb_taz,104,77,0.068868%
o_tpb_taz,1594,77,0.068868%
o_tpb_taz,900,76,0.067974%
o_tpb_taz,732,76,0.067974%
o_tpb_taz,595,76,0.067974%
o_tpb_taz,1944,76,0.067974%
o_tpb_taz,1674,76,0.067974%
o_tpb_taz,1697,76,0.067974%
o_tpb_taz,1583,76,0.067974%
o_tpb_taz,1565,76,0.067974%
o_tpb_taz,961,76,0.067974%
o_tpb_taz,2304,76,0.067974%
o_tpb_taz,3038,75,0.067079%
o_tpb_taz,3243,75,0.067079%
o_tpb_taz,427,75,0.067079%
o_tpb_taz,1514,75,0.067079%
o_tpb_taz,566,75,0.067079%
o_tpb_taz,1824,75,0.067079%
o_tpb_taz,1084,75,0.067079%
o_tpb_taz,3088,74,0.066185%
o_tpb_taz,746,74,0.066185%
