segment_id,segment_group,direction,route,route_type,description,observed_speed_mph,travel_time_min,speed_time_min,length_miles,status,congestion,imputation,source_link_id,start_lon,start_lat,end_lon,end_lat,start_milepost,end_milepost,fetched_at_utc,source_response_url,source_metadata_url
VA_I-95_35.3-51.71,segment,N,I-95,I,from I-95 MM 35.3 to Jct I-85 Petersburg (MM 51.71),61.50000000,16.00000000,16.00000000,16.40000000,open,1,0.0,365487537,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_46.1-51.71,segment,N,I-95,I,from I-95 I-295 Exit46 (MM 46.1) to Jct I-85 Petersburg (MM 51.71),56.00000000,6.00000000,6.00000000,5.60000000,open,1,0.0,366819340,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_46.1-73,segment,N,I-95,I,from I-95 I-295 Exit46 (MM 46.1) to Maury St Exit73 (MM 73),64.56000000,25.00000000,25.00000000,26.90000000,open,1,0.0,366835775,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_55.4-0.1,segment,S,I-95,I,from I-95 MM 55.4 to North Carolina State Line (MM 0.1),69.12000000,48.00000000,49.00000000,55.30000000,open,1,0.0,366861416,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-85_69-0.1,segment,S,I-85,I,from I-85 Jct I-95 Petersburg (MM 69) to North Carolina State Line (MM 0.1),68.09000000,60.70000000,60.70000000,68.90000000,open,1,0.0,366887781,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_66.5-51.6,segment,S,I-95,I,from I-95 MM 66.5 to Jct I-85 Petersburg (MM 51.6),63.86000000,14.00000000,14.00000000,14.90000000,open,1,0.0,366920579,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_77.2-62.62,segment,S,I-95,I,from I-95 MM 77.2 to MM 62.62,62.14000000,14.00000000,14.00000000,14.50000000,open,1,0.0,366956855,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-64_190.5-234.46,segment,E,I-64,I,from I-64 Jct I-95 Richmond (MM 190.5) to MM 234.46,60.67000000,43.40000000,38.60000000,43.90000000,open,1,0.0,366965646,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-95_86.3-91.74,segment,N,I-95,I,from I-95 Rt656 Exit86 (MM 86.3) to VA-54E Exit92A (MM 91.74),64.80000000,5.00000000,5.00000000,5.40000000,open,1,0.0,366991489,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
VA_I-295_44.75-53.4,segment,N,I-295,I,from I-295 MM 44.75 to I-64 (MM 53.4),62.00000000,8.30000000,7.80000000,8.60000000,open,1,0.0,434161514,,,,,,,2026-06-04T06:33:22+00:00,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_response.json,https://data.511-atis-ttrip-prod.iteriscloud.com/datasets/travelTime/travel_time_segments_metadata.json
