scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,88352,1920,1496,1,2,660,4,1,81.00000000,81.00000000,3.70693707
real,88353,1496,1920,2,1,1050,4,1,81.00000000,81.00000000,3.70693707
real,88361,2665,1630,1,2,525,4,1,22.00000000,22.00000000,1.00682241
real,88362,1630,2665,2,18,840,4,1,22.00000000,22.00000000,1.00682241
real,88363,2665,2665,18,1,875,4,1,22.00000000,22.00000000,1.00682241
real,88381,2628,2785,1,2,495,4,1,37.00000000,37.00000000,1.69329224
real,88382,2785,2754,2,10,1050,4,1,37.00000000,37.00000000,1.69329224
real,88383,2754,2636,10,8,1065,4,1,37.00000000,37.00000000,1.69329224
real,88384,2636,2628,8,1,1100,4,1,37.00000000,37.00000000,1.69329224
real,88395,2652,2535,1,11,970,4,1,93.00000000,93.00000000,4.25611293
real,88396,2535,2537,11,5,1075,4,1,93.00000000,93.00000000,4.25611293
real,88397,2537,2648,5,16,1090,4,1,93.00000000,93.00000000,4.25611293
real,88398,2648,1540,16,9,1110,4,2,93.00000000,46.50000000,2.12805646
real,88399,1540,2535,9,11,1180,4,2,93.00000000,46.50000000,2.12805646
real,88400,2535,2652,11,1,1360,4,1,93.00000000,93.00000000,4.25611293
real,88401,2125,2135,1,9,510,4,1,181.00000000,181.00000000,8.28340258
real,88402,2135,1986,9,8,585,4,1,181.00000000,181.00000000,8.28340258
real,88403,1986,1986,8,7,600,4,1,181.00000000,181.00000000,8.28340258
real,88404,1986,2137,7,3,635,4,1,181.00000000,181.00000000,8.28340258
real,88405,2137,2125,3,1,735,4,1,181.00000000,181.00000000,8.28340258
real,88406,2125,2125,1,16,805,4,1,181.00000000,181.00000000,8.28340258
real,88407,2125,2009,16,16,825,4,2,181.00000000,90.50000000,4.14170129
real,88408,2009,2027,16,5,860,4,1,181.00000000,181.00000000,8.28340258
real,88409,2027,2125,5,1,880,4,1,181.00000000,181.00000000,8.28340258
real,88410,2125,2009,1,10,925,4,1,181.00000000,181.00000000,8.28340258
real,88411,2009,2125,10,16,1020,4,2,181.00000000,90.50000000,4.14170129
real,88412,2125,2125,16,1,1045,4,1,181.00000000,181.00000000,8.28340258
real,88413,2125,2125,1,16,480,4,2,181.00000000,90.50000000,4.14170129
real,88414,2125,2125,16,1,485,4,1,181.00000000,181.00000000,8.28340258
real,88415,2125,2125,1,14,500,4,1,181.00000000,181.00000000,8.28340258
real,88416,2125,2125,14,1,540,4,1,181.00000000,181.00000000,8.28340258
real,88417,2125,2138,1,13,810,4,1,181.00000000,181.00000000,8.28340258
real,88418,2138,2125,13,1,870,4,1,181.00000000,181.00000000,8.28340258
real,88419,2125,2125,1,14,1050,4,1,181.00000000,181.00000000,8.28340258
real,88420,2125,2125,14,1,1080,4,1,181.00000000,181.00000000,8.28340258
real,88421,2125,2031,1,16,1215,4,1,181.00000000,181.00000000,8.28340258
real,88422,2031,2125,16,1,1235,4,2,181.00000000,90.50000000,4.14170129
real,88426,3553,3565,1,10,545,4,1,181.00000000,181.00000000,8.28340258
real,88427,3565,3566,10,6,560,4,1,181.00000000,181.00000000,8.28340258
real,88428,3566,3435,6,2,580,4,1,181.00000000,181.00000000,8.28340258
real,88429,3435,3553,2,1,1085,4,1,181.00000000,181.00000000,8.28340258
real,88430,3553,3435,1,5,775,4,1,181.00000000,181.00000000,8.28340258
real,88431,3435,3568,5,5,815,4,1,181.00000000,181.00000000,8.28340258
real,88432,3568,3571,5,5,850,4,1,181.00000000,181.00000000,8.28340258
real,88433,3571,3553,5,1,900,4,1,181.00000000,181.00000000,8.28340258
real,88438,1429,1426,1,7,540,4,1,46.00000000,46.00000000,2.10517414
real,88439,1426,1429,7,1,550,4,1,46.00000000,46.00000000,2.10517414
real,88442,1433,1429,6,1,1085,4,1,46.00000000,46.00000000,2.10517414
real,88445,3580,3570,1,10,1120,4,1,181.00000000,181.00000000,8.28340258
real,88448,3580,3579,1,7,375,4,1,181.00000000,181.00000000,8.28340258
real,88449,3579,3581,7,2,385,4,1,181.00000000,181.00000000,8.28340258
real,88450,3581,3580,2,1,1050,4,1,181.00000000,181.00000000,8.28340258
real,88451,3580,3570,1,16,1120,4,1,181.00000000,181.00000000,8.28340258
