screenline_id,method,absolute_error_delta_vs_direct
24003731309__24003731310,direct_survey,0.0
24003740102__24003740103,direct_survey,0.0
24003740102__24003740400,direct_survey,0.0
24003740102__24003740500,direct_survey,0.0
24003740102__24003740601,direct_survey,0.0
24003740102__24003751200,direct_survey,0.0
24003740102__24003751500,direct_survey,0.0
24003740102__24027601203,direct_survey,0.0
24003740102__24027606901,direct_survey,0.0
24003740103__24003740104,direct_survey,0.0
24003740103__24003740602,direct_survey,0.0
24003740103__24003751200,direct_survey,0.0
24003740103__24003751400,direct_survey,0.0
24003740104__24003740105,direct_survey,0.0
24003740104__24003740305,direct_survey,0.0
24003740104__24003740602,direct_survey,0.0
24003740104__24003751400,direct_survey,0.0
24003740105__24003740303,direct_survey,0.0
24003740105__24003740305,direct_survey,0.0
24003740201__24003740203,direct_survey,0.0
24003740201__24003741000,direct_survey,0.0
24003740201__24003751400,direct_survey,0.0
24003740203__24003740303,direct_survey,0.0
24003740203__24003741000,direct_survey,0.0
24003740203__24003751400,direct_survey,0.0
24003740303__24003740304,direct_survey,0.0
24003740303__24003751400,direct_survey,0.0
24003740304__24003740305,direct_survey,0.0
24003740304__24003740603,direct_survey,0.0
24003740304__24003740701,direct_survey,0.0
24003740304__24003740900,direct_survey,0.0
24003740304__24003741000,direct_survey,0.0
24003740305__24003740602,direct_survey,0.0
24003740305__24003740603,direct_survey,0.0
24003740400__24027606901,direct_survey,0.0
24003740500__24003751500,direct_survey,0.0
24003740500__24027606904,direct_survey,0.0
24003740500__24027606905,direct_survey,0.0
24003740500__24027606906,direct_survey,0.0
24003740500__24027606907,direct_survey,0.0
24003740500__24033800103,direct_survey,0.0
24003740601__24003740602,direct_survey,0.0
24003740601__24003740603,direct_survey,0.0
24003740601__24003751500,direct_survey,0.0
24003740602__24003740603,direct_survey,0.0
24003740603__24003740702,direct_survey,0.0
24003740603__24003751500,direct_survey,0.0
24003740603__24033800206,direct_survey,0.0
24003740701__24003740900,direct_survey,0.0
24003740702__24003740800,direct_survey,0.0
24003740702__24003740900,direct_survey,0.0
24003740702__24033800401,direct_survey,0.0
24003740800__24003740900,direct_survey,0.0
24003740800__24003741000,direct_survey,0.0
24003740800__24003751700,direct_survey,0.0
24003740900__24003741000,direct_survey,0.0
24003750101__24003750102,direct_survey,0.0
24003750101__24003750202,direct_survey,0.0
24003750101__24003750203,direct_survey,0.0
24003750101__24510250401,direct_survey,0.0
24003750101__24510250500,direct_survey,0.0
24003750102__24003750201,direct_survey,0.0
24003750102__24003750202,direct_survey,0.0
24003750102__24005980100,direct_survey,0.0
24003750102__24510250401,direct_survey,0.0
24003750201__24003750202,direct_survey,0.0
24003750201__24003750300,direct_survey,0.0
24003750201__24003750400,direct_survey,0.0
24003750201__24005430104,direct_survey,0.0
24003750201__24005980100,direct_survey,0.0
24003750202__24003750203,direct_survey,0.0
24003750202__24003750803,direct_survey,0.0
24003750203__24003751102,direct_survey,0.0
24003750203__24510250500,direct_survey,0.0
24003750300__24003750400,direct_survey,0.0
24003750300__24003751200,direct_survey,0.0
24003750300__24005430101,direct_survey,0.0
24003750300__24005430300,direct_survey,0.0
24003750400__24003750801,direct_survey,0.0
24003750400__24003750803,direct_survey,0.0
24003750400__24003751200,direct_survey,0.0
24003750400__24003980000,direct_survey,0.0
24003750801__24003750803,direct_survey,0.0
24003750801__24003750804,direct_survey,0.0
24003750801__24003750900,direct_survey,0.0
24003750801__24003980000,direct_survey,0.0
24003750803__24003750804,direct_survey,0.0
24003750803__24003751102,direct_survey,0.0
24003750804__24003750900,direct_survey,0.0
24003750804__24003751102,direct_survey,0.0
24003750900__24003751000,direct_survey,0.0
24003750900__24003751102,direct_survey,0.0
24003750900__24003751400,direct_survey,0.0
24003751000__24003751102,direct_survey,0.0
24003751000__24003751103,direct_survey,0.0
24003751102__24003751103,direct_survey,0.0
24003751102__24510250500,direct_survey,0.0
24003751200__24003751400,direct_survey,0.0
24003751200__24003980000,direct_survey,0.0
24003751200__24005430300,direct_survey,0.0
24003751200__24005430600,direct_survey,0.0
24003751200__24005980200,direct_survey,0.0
24003751200__24027601201,direct_survey,0.0
24003751200__24027601203,direct_survey,0.0
24003751200__24027601204,direct_survey,0.0
24003751400__24003980000,direct_survey,0.0
24003751500__24033800103,direct_survey,0.0
24003751500__24033800206,direct_survey,0.0
24003751500__24033800211,direct_survey,0.0
24005400100__24005400200,direct_survey,0.0
24005400100__24005430900,direct_survey,0.0
24005400100__24005492500,direct_survey,0.0
24005400100__24510250103,direct_survey,0.0
24005400200__24005400400,direct_survey,0.0
24005400200__24005400600,direct_survey,0.0
24005400200__24510250101,direct_survey,0.0
24005400400__24005400500,direct_survey,0.0
24005400400__24005400800,direct_survey,0.0
24005400400__24005401000,direct_survey,0.0
24005400400__24005430600,direct_survey,0.0
24005400400__24005430700,direct_survey,0.0
24005400400__24005492500,direct_survey,0.0
24005400500__24005401000,direct_survey,0.0
24005400500__24005401400,direct_survey,0.0
24005400500__24027601104,direct_survey,0.0
24005400600__24005400701,direct_survey,0.0
24005400600__24005400702,direct_survey,0.0
24005400600__24005400800,direct_survey,0.0
24005400600__24510280403,direct_survey,0.0
24005400701__24005400702,direct_survey,0.0
24005400701__24005400800,direct_survey,0.0
24005400701__24005401101,direct_survey,0.0
24005400701__24005401301,direct_survey,0.0
24005400702__24005401301,direct_survey,0.0
24005400702__24005401302,direct_survey,0.0
24005400702__24510280403,direct_survey,0.0
24005400800__24005400900,direct_survey,0.0
24005400800__24005401000,direct_survey,0.0
24005400800__24005401505,direct_survey,0.0
24005400900__24005401000,direct_survey,0.0
24005400900__24005401503,direct_survey,0.0
24005400900__24005401505,direct_survey,0.0
24005401000__24005401400,direct_survey,0.0
24005401101__24005401102,direct_survey,0.0
24005401101__24005401301,direct_survey,0.0
24005401101__24005401505,direct_survey,0.0
24005401102__24005401200,direct_survey,0.0
24005401102__24005401301,direct_survey,0.0
24005401102__24005401507,direct_survey,0.0
24005401102__24005402405,direct_survey,0.0
24005401200__24005401301,direct_survey,0.0
24005401200__24005402403,direct_survey,0.0
24005401200__24005402405,direct_survey,0.0
24005401200__24510280200,direct_survey,0.0
24005401200__24510280301,direct_survey,0.0
24005401301__24005401302,direct_survey,0.0
24005401301__24510280301,direct_survey,0.0
24005401301__24510280401,direct_survey,0.0
24005401302__24510280401,direct_survey,0.0
24005401400__24005401503,direct_survey,0.0
24005401400__24027602700,direct_survey,0.0
24005401503__24005401504,direct_survey,0.0
24005401503__24027602800,direct_survey,0.0
24005401504__24005401505,direct_survey,0.0
24005401504__24005401506,direct_survey,0.0
24005401504__24005401507,direct_survey,0.0
24005401505__24005401507,direct_survey,0.0
24005401506__24005401507,direct_survey,0.0
24005401506__24005402202,direct_survey,0.0
24005401506__24005402406,direct_survey,0.0
24005401507__24005402407,direct_survey,0.0
24005402201__24005402202,direct_survey,0.0
24005402201__24005402504,direct_survey,0.0
24005402201__24005404101,direct_survey,0.0
24005402201__24005404800,direct_survey,0.0
24005402201__24005492401,direct_survey,0.0
24005402201__24005492402,direct_survey,0.0
24005402201__24013505102,direct_survey,0.0
24005402201__24013505206,direct_survey,0.0
24005402201__24027603001,direct_survey,0.0
24005402202__24005402406,direct_survey,0.0
24005402202__24005402504,direct_survey,0.0
24005402202__24027603001,direct_survey,0.0
24005402302__24005402303,direct_survey,0.0
24005402302__24005402306,direct_survey,0.0
24005402302__24005402407,direct_survey,0.0
24005402303__24005402304,direct_survey,0.0
24005402303__24005402307,direct_survey,0.0
24005402303__24005402407,direct_survey,0.0
24005402304__24005402305,direct_survey,0.0
24005402304__24005402404,direct_survey,0.0
24005402304__24005402405,direct_survey,0.0
24005402305__24005402307,direct_survey,0.0
24005402305__24005402403,direct_survey,0.0
24005402305__24005402404,direct_survey,0.0
24005402305__24005402604,direct_survey,0.0
24005402305__24005403100,direct_survey,0.0
24005402305__24005403300,direct_survey,0.0
24005402306__24005402307,direct_survey,0.0
24005402306__24005402602,direct_survey,0.0
24005402306__24005402604,direct_survey,0.0
24005402307__24005402604,direct_survey,0.0
24005402403__24005402404,direct_survey,0.0
24005402403__24005403100,direct_survey,0.0
24005402403__24005403202,direct_survey,0.0
24005402403__24510280200,direct_survey,0.0
24005402404__24005402405,direct_survey,0.0
24005402405__24005402407,direct_survey,0.0
24005402406__24005402407,direct_survey,0.0
24005402503__24005402504,direct_survey,0.0
24005402503__24005402506,direct_survey,0.0
24005402503__24005402602,direct_survey,0.0
24005402503__24005402604,direct_survey,0.0
24005402504__24005402505,direct_survey,0.0
24005402504__24005492401,direct_survey,0.0
24005402505__24005402506,direct_survey,0.0
24005402505__24005402509,direct_survey,0.0
24005402505__24005492401,direct_survey,0.0
24005402506__24005402509,direct_survey,0.0
24005402506__24005402604,direct_survey,0.0
24005402509__24005402603,direct_survey,0.0
24005402509__24005404101,direct_survey,0.0
24005402602__24005402604,direct_survey,0.0
24005402603__24005402604,direct_survey,0.0
24005402603__24005403702,direct_survey,0.0
24005402604__24005403702,direct_survey,0.0
24005403100__24005403201,direct_survey,0.0
24005403100__24005403202,direct_survey,0.0
24005403100__24005403300,direct_survey,0.0
24005403201__24005403202,direct_survey,0.0
