link_id,observed_volume,count_id,match_distance_m,lon,lat,road_name,route_id,county
osm_999076258_21,3835.00000000,S2014180321,1.580,-76.49930593,38.23653433,Flat Iron Rd,18000CO00283  01SS**************,St. Mary's
osm_696234430_4,9331.00000000,S2012150958,1.411,-77.15470388,39.09639812,Mannakee St,15130MU01902  01NN**************,Montgomery
osm_6110910_8,411.00000000,S2012161016,1.961,-76.92563209,38.85756399,Davis Ave,16000CO00037  01WW**************,Prince George's
osm_5309270_5,5431.00000000,S2012030006,1.591,-76.44829577,39.23122602,Ruth Ave,03000CO05721  01SS**************,Baltimore
osm_815553465_7,30191.00000000,S2009030079,1.524,-76.77821887,39.41993262,Owings Mills Blvd,03000CO07297  01NN**************,Baltimore
osm_44704937_15,9270.00000000,B1571,0.521,-76.93827073,39.59875315,Hampstead Mexico Rd,06000MD00482  01EE**************,Carroll
osm_1474158062_6,6781.00000000,S2012161141,0.774,-76.95944387,38.83277001,23rd Pkwy,16000CO01084  01NN**************,Prince George's
osm_671166792_7,40211.00000000,B3665,0.693,-76.77468851,38.50622444,Three Notch Rd,18000MD00005  01NN**************,St. Mary's
osm_101252578_1,3922.00000000,S2012151311,3.234,-77.07575328,39.11819397,Ramp 3 Fr Md 200 Eb To Md 97 Nb,15000RP00200  02EEMD8         03,Montgomery
osm_72502849_3,871.00000000,B1955,0.835,-77.31866570,39.60673222,Motters Station Rd,10000MD00076  01NN**************,Frederick
osm_5265824_3,3333.00000000,S2010130028,0.859,-77.07024420,39.34483351,Ramp 2 Fr Is 70 Wb To Md 94 Nb,13000RP00070  02WWIS73        02,Howard
osm_546707109_2,13062.00000000,S2011020899,2.578,-76.68359948,39.19776695,W Nursery Rd,02000CO00006  01WW**************,Anne Arundel
osm_89532885_1,224.00000000,S2015160237,1.832,-76.91121489,38.81326815,Ramp 2 Fr Md 5p Wb To Rp 3 (to Md 5 Nb),16000RP00005  02SSMD11        02,Prince George's
osm_341355070_5,29722.00000000,S2001030010,1.703,-76.66356167,39.41370177,Ramp 7 Fr Is 83/is 695 Wb To Is 83 Sb,03000RP00083  02WWIS13        07,Baltimore
osm_6114691_3,8111.00000000,S2012161018,0.336,-76.78600817,38.97224188,Hillmeade Rd,16000CO00041  01NN**************,Prince George's
osm_982238291_3,1692.00000000,S2014070034,1.148,-75.83031825,39.60899855,North St,07000MD00268  01NN**************,Cecil
osm_6101947_5,11453.00000000,S2000160205,0.568,-76.86728034,38.95917861,Ramp 7 Fr Md 450 Wb To Is 95 Sb,16000RP00095  02WWIS20        07,Prince George's
osm_398283077_2,16351.00000000,B0637,1.184,-76.61420985,39.18418139,Crain Hwy,02000MD00003BU01NN**************,Anne Arundel
osm_401872977_2,1482.00000000,S2011210326,2.476,-77.71217225,39.64337307,N Cannon Ave,21073MU00331  01NN**************,Washington
osm_11512026_2,6262.00000000,S2011020832,2.141,-76.52836084,39.05728478,Jones Station Rd                        ,02000CO02334  01NN**************,Anne Arundel
osm_5297590_1,2672.00000000,S2001030017,1.581,-76.66472689,39.40084038,Ramp 7 Fr Ruxton Rd To Ramp 6 (to Is 83),03000RP00083  02SSIS12        07,Baltimore
osm_48472001_29,57890.00000000,B3990,1.958,-77.73766945,39.71704843,Maryland Veterans Memorial Hwy,21000IS00081  01NN**************,Washington
osm_1463049604_5,16851.00000000,S2012150946,0.990,-77.13676620,39.07368787,W Edmonston Dr,15130MU01015  01SS**************,Montgomery
osm_17707393_27,615.00000000,S2014230537,2.086,-75.53169476,38.12050648,Whitesburg Rd,23000CO00297  01SS**************,Worcester
osm_1383687133_1,24331.00000000,B020050,3.376,-76.64926852,39.14239412,Quarterfield Rd,02000MD00174  01EE**************,Anne Arundel
osm_17603180_75,935.00000000,S2014050531,1.112,-75.85472558,38.81546469,American Corner Rd,05000CO00163  01NN**************,Caroline
osm_11537818_2,2130.00000000,S2007100024,1.193,-77.32356319,39.39161620,Ramp 4 Fr Md 144fa To Is 70 Eb,10000RP00070  02EEIS59        04,Frederick
osm_836408460_2,4121.00000000,S2012241358,0.004,-76.60360826,39.32881895,Ellerslie Ave,24999MU01111  01SS**************,Baltimore City
osm_168058362_26,19761.00000000,B2153,0.402,-79.14145491,39.69448742,National Freeway,11000IS00068  01EE**************,Garrett
osm_1196086947_7,2051.00000000,S2012150949,0.919,-77.11901187,39.06472840,Halpine Rd                              ,15130MU01330  01WW**************,Montgomery
osm_5967167_18,5781.00000000,S2012150792,0.837,-77.12572643,38.97593365,Whittier Blvd                           ,15000CO01279  01SS**************,Montgomery
osm_947947703_13,11902.00000000,B0511,1.945,-78.91824175,39.65309633,Main St,01000US00040AL01EE**************,Allegany
osm_240685451_18,2561.00000000,B2151,2.233,-79.41572098,39.66348623,Friendsville Rd,11000MD00042  01NN**************,Garrett
osm_73580675_1,2903.00000000,S2005130045,1.733,-77.01730690,39.32440423,Ramp 5 Fr Md 97 Sb To Is 70 Eb,13000RP00070  02EEIS76        05,Howard
osm_114615746_125,1220.00000000,B3712,1.888,-75.74811243,38.11583767,Fairmount Rd,19000MD00361  01EE**************,Somerset
osm_857257619_1,84000.00000000,B0650,0.723,-76.60612328,39.13593933,No Name,02000MD00100  01EE**************,Anne Arundel
osm_696737891_4,36731.00000000,B080096,0.606,-76.94962775,38.58379839,Crain Hwy,08000US00301  01NN**************,Charles
osm_916181744_1,12903.00000000,B100031,2.746,-77.26998846,39.34606147,Fingerboard Rd,10000MD00080  01EE**************,Frederick
osm_840719417_2,5682.00000000,S2005120020,0.451,-76.16943626,39.50023882,Old Philadelphia Rd,12001MU01050  01EE**************,Harford
osm_17673334_27,824.00000000,B3724,3.227,-75.83049158,37.97182806,Lawsonia Rd,19000MD00380  01NN**************,Somerset
osm_544909909_1,5451.00000000,S2012241401,1.158,-76.67095966,39.35756072,Pimlico Rd,24999MU06150  01NN**************,Baltimore City
osm_1510741718_5,2414.00000000,B090006,1.624,-75.87040179,38.62932098,Poplar St,09081MU00240  01EE**************,Dorchester
osm_88727927_21,2242.00000000,B2619,1.822,-75.92562075,39.25951219,Crumpton Rd,14000MD00290  01NN**************,Kent
osm_685241739_32,1122.00000000,B070024,0.221,-76.07921763,39.57203919,Frenchtown Rd,07117MU00115  01NN**************,Cecil
osm_746318756_31,1214.00000000,B1835,0.542,-76.14644417,38.49676455,Golden Hill Rd,09000MD00335  01NN**************,Dorchester
osm_545060467_22,16112.00000000,S2011030933,1.684,-76.63059937,39.46730292,Cranbrook Rd,03000CO00415  01EE**************,Baltimore
osm_98040500_2,4641.00000000,S2012241409,0.458,-76.57831805,39.27987629,S Lakewood Ave,24999MU01165  01SS**************,Baltimore City
osm_1145720941_4,67370.00000000,B3124,0.208,-76.87211777,38.69556260,Branch Ave,16000MD00005  01NN**************,Prince George's
osm_936781210_13,8740.00000000,B2810,0.931,-77.11321794,38.98659297,Wilson La,15000MD00188  01EE**************,Montgomery
osm_17646180_99,532.00000000,S2011090577,0.794,-75.92679463,38.59318989,East New Market Rd,09048MU00001  01NN**************,Dorchester
osm_52539940_6,5090.00000000,S2010100045,0.122,-77.40417403,39.40182424,Ramp 8 Fr Md 85 Sb To Is 70 Wb,10000RP00070  02WWIS54        08,Frederick
osm_1473781322_5,1520.00000000,S2013060383,0.350,-77.15457604,39.37108465,Ridge Ave,06103MU00300  01EE**************,Carroll
osm_968721073_11,14801.00000000,B240018,1.232,-76.67440892,39.34816170,Park Heights Ave,24000MD00129  01NN**************,Baltimore City
osm_11501127_8,16170.00000000,S1998020084,1.051,-76.64606944,39.15032730,Ramp 6 Fr Md 100 Eb To Is 97 Sb,02000RP00097  02SSIS14        06,Anne Arundel
osm_76124060_3,1470.00000000,S2010210049,0.974,-77.81010102,39.62963053,Ramp 3 Fr Ramp 6 (fr Is 70) To Md 63 Nb,21000RP00070  02EEIS24        03,Washington
osm_24529201_20,7470.00000000,S1999030165,2.128,-76.68032263,39.25396306,Ramp 7 Fr Is 695 Wb To Is 95 Sb,03000RP00095  02NNIS49        07,Baltimore
osm_182705401_5,5781.00000000,S2010160084,0.313,-76.84242102,38.94832931,Ramp 10 Fr Md 704 To Ramp 9 (to Md 950),16000RP00595  02SSIS8         10,Prince George's
osm_447572558_12,4480.00000000,S1998160232,0.795,-76.74033079,38.81273450,Ramp 5 Fr Us 301 Sb To Md 4 Eb,16000RP00301  02NNUS14        05,Prince George's
osm_5266291_6,6290.00000000,S1999130040,0.635,-76.77006434,39.19964033,Ramp 6 Fr Md 100 Eb To Ramp 7 (to Is 95),13000RP00095  02SSIS43        06,Howard
osm_17697918_16,614.00000000,B3833,0.412,-76.26738172,38.82516471,Claiborne Rd                            ,20000CO00440  01NN**************,Talbot
osm_55493436_3,10692.00000000,S2011130741,0.702,-76.84567089,39.24415492,Old Annapolis Rd                        ,13000CO00076  01SS**************,Howard
osm_372959090_1,3124.00000000,S2010210063,2.311,-77.72982777,39.60383896,Ramp 4 Fr Md 65 Nb To Ramp 5 (to Is 70),21000RP00070  02WWIS29        04,Washington
osm_51535574_2,6421.00000000,S2012240262,0.069,-76.57639160,39.33819201,Argonne Dr,24999MU01101  01NN**************,Baltimore City
osm_26952438_5,5492.00000000,B1924,0.112,-77.54557724,39.44238786,S Church St,10000MD00017  01NN**************,Frederick
osm_5971980_9,31502.00000000,B2842,3.034,-76.93497527,39.10958264,Old Columbia Pike,15000MD00198  01EE**************,Montgomery
osm_5297560_1,2123.00000000,S2010030141,2.064,-76.67424166,39.59201565,Ramp 7 Fr Md 137 To Ramp 6 (to Is 83),03000RP00083  02SSIS27        07,Baltimore
osm_49800338_2,2254.00000000,S2003240009,2.341,-76.59388005,39.24109456,Ramp 5 Fr Is 895 Sb To Frankfurst Ave,24000RP00895  02NNIS8         05,Baltimore City
osm_76293650_8,34481.00000000,B150065,3.564,-77.14925911,39.14644215,Shady Grove Rd,15000CO00212  01NN**************,Montgomery
osm_80457299_26,1232.00000000,B1961,1.487,-77.32069294,39.60539252,Rocky Ridge Rd,10000MD00077  01EE**************,Frederick
osm_44523884_79,100.00000000,B2366,0.453,-76.32132474,39.40551263,Magnolia Rd,12000MD00152  01NN**************,Harford
osm_1184967401_1,1191.00000000,S2004020045,2.530,-76.47117105,39.02199555,Ramp 4 Fr Ferguson Rd To Ramp 5 (us50),02000RP00050  02NNUS28        04,Anne Arundel
osm_435891241_8,6120.00000000,S1999030110,0.885,-76.74236693,39.31256901,Ramp 2 Fr Md 122 Wb To Is 695 Nb,03000RP00695  02NNIS17        02,Baltimore
osm_447604159_3,2361.00000000,B100073,1.042,-77.40966889,39.41653083,E 2nd St,10057MU09020  01WW**************,Frederick
osm_887731214_18,1092.00000000,B120007,0.250,-76.34180335,39.40849146,Foster Knoll Dr,12000CO01180  01SS**************,Harford
osm_1472677401_2,6100.00000000,S2013130217,4.838,-76.84343906,39.12413542,All Saints Rd,13000CO00114  01SS**************,Howard
osm_11558596_7,1520.00000000,B100088,0.204,-77.41807108,39.41260865,Degrange St,10057MU00520  01NN**************,Frederick
osm_5996769_6,3064.00000000,S2009240052,0.522,-76.55129736,39.30199355,Ramp 2 Fr Us 40 Wb To Md 151 Nb,24000RP00040  02WWUS8         02,Baltimore City
osm_5257022_14,4293.00000000,S2001130025,2.433,-76.81302433,39.14090065,Ramp 7 Fr Ramp 9 (fr Md 32) To Us 1 Sb,13000RP00032  02WWMD12        07,Howard
osm_6123439_2,2591.00000000,S2012161233,0.039,-76.74806881,38.97591021,Moylan Dr,16013MU01910  01NN**************,Prince George's
osm_103940723_44,4632.00000000,S2008120020,0.989,-76.37350080,39.50049788,Old Joppa Rd,12000CO00260  01SS**************,Harford
osm_11541944_9,8003.00000000,B1575,0.242,-76.99904277,39.58515038,Pennsylvania Ave,06155MU00434  01NN**************,Carroll
osm_1094030840_8,16331.00000000,B0944,0.177,-76.83773584,39.53842655,Hanover Pike,03000MD00030  01NN**************,Baltimore
osm_396230707_3,5951.00000000,S2012240282,1.287,-76.60784803,39.32253188,Mathews St,24999MU01610  01NN**************,Baltimore City
osm_11512297_6,4532.00000000,S2011020890,0.719,-76.61288244,39.15759485,Fitzallen Rd                            ,02000CO00711  01SS**************,Anne Arundel
