scenario,activity_pair,vehicle_trips,share
synthetic,10 -> 18,63.99999996,0.00033694795238911265
synthetic,5 -> 9,62.4,0.0003285242537847125
synthetic,11 -> 8,60.0,0.00031588870556222356
synthetic,4 -> 11,60.0,0.00031588870556222356
synthetic,3 -> 18,57.99999996,0.0003053590818328903
synthetic,8 -> 9,57.99999996,0.0003053590818328903
synthetic,16 -> 14,57.99999984,0.00030535908120111295
synthetic,12 -> 12,54.0,0.0002842998350060012
synthetic,13 -> 3,54.0,0.0002842998350060012
synthetic,18 -> 12,54.0,0.0002842998350060012
synthetic,7 -> 14,54.0,0.0002842998350060012
synthetic,7 -> 8,51.99999996,0.00027377021127666793
synthetic,12 -> 7,51.40000008,0.0002706113248528231
synthetic,12 -> 16,49.99999992,0.0002632405875473347
synthetic,13 -> 12,48.0,0.0002527109644497789
synthetic,14 -> 6,48.0,0.0002527109644497789
synthetic,3 -> 8,48.0,0.0002527109644497789
synthetic,7 -> 3,48.0,0.0002527109644497789
synthetic,9 -> 6,48.0,0.0002527109644497789
synthetic,12 -> 11,45.99999996,0.0002421813407204456
synthetic,18 -> 7,45.0,0.00023691652917166769
synthetic,5 -> 14,45.0,0.00023691652917166769
synthetic,18 -> 11,44.4,0.00023375764211604544
synthetic,5 -> 3,43.99999992,0.00023165171699111235
synthetic,12 -> 18,42.0,0.0002211220938935565
synthetic,13 -> 11,42.0,0.0002211220938935565
synthetic,16 -> 3,42.0,0.0002211220938935565
synthetic,4 -> 12,42.0,0.0002211220938935565
synthetic,6 -> 10,42.0,0.0002211220938935565
synthetic,6 -> 3,42.0,0.0002211220938935565
synthetic,7 -> 4,42.0,0.0002211220938935565
synthetic,9 -> 8,42.0,0.0002211220938935565
synthetic,10 -> 14,39.99999996,0.00021059247016422323
synthetic,3 -> 7,39.99999996,0.00021059247016422323
synthetic,14 -> 14,37.99999992,0.00020006284643489
synthetic,11 -> 6,36.0,0.00018953322333733414
synthetic,13 -> 18,36.0,0.00018953322333733414
synthetic,2 -> 15,36.0,0.00018953322333733414
synthetic,3 -> 6,36.0,0.00018953322333733414
synthetic,4 -> 10,36.0,0.00018953322333733414
synthetic,4 -> 8,36.0,0.00018953322333733414
synthetic,8 -> 13,36.0,0.00018953322333733414
synthetic,8 -> 3,36.0,0.00018953322333733414
synthetic,9 -> 11,36.0,0.00018953322333733414
synthetic,6 -> 11,33.99999996,0.00017900359960800087
synthetic,10 -> 9,30.0,0.00015794435278111178
