scenario,activity_pair,vehicle_trips,share
real,15 -> 1,309.00676524,0.0016268624510014226
real,16 -> 7,304.54776238,0.0016033866403142108
real,2 -> 11,301.58907738,0.0015878097207373766
real,3 -> 5,295.83417205,0.001557511227488618
real,16 -> 8,284.45707877,0.0014976129730138428
real,9 -> 7,269.10761337,0.0014168009270937134
real,9 -> 2,262.46029729,0.0013818040592352033
real,7 -> 16,262.0781451,0.001379792099891866
real,16 -> 9,256.24774534,0.001349096142680364
real,10 -> 7,245.19558111,0.0012909085784886124
real,16 -> 13,235.71848375,0.0012410134448740007
real,18 -> 10,232.94209467000002,0.001226396279000256
real,2 -> 4,227.67915935,0.0011986879152448308
real,6 -> 5,225.77229874,0.001188648653084039
real,9 -> 6,217.83975847,0.001146885321798083
real,13 -> 7,214.08705678,0.0011271280538155235
real,13 -> 2,209.00718006,0.0011003834591298196
real,16 -> 18,208.07663205999998,0.0010954842990778424
real,10 -> 6,197.22278134,0.0010383408181853504
real,8 -> 10,192.41749258,0.0010130418774201167
real,4 -> 7,191.24591736,0.0010068737544262354
real,16 -> 10,186.81894972999999,0.0009835666031946045
real,4 -> 5,186.26977387,0.0009806752956695523
real,3 -> 3,186.02569574,0.000979390270260807
real,5 -> 12,181.84585723,0.0009573842073259477
real,11 -> 16,175.76501608,0.0009253697233396316
real,2 -> 12,169.18048892,0.0008907034273254224
real,5 -> 13,168.48257794,0.0008870290573917359
real,2 -> 3,167.45287317999998,0.000881607855663805
real,5 -> 9,162.40960817,0.0008550560147393973
real,9 -> 16,160.35935162,0.0008442617999476139
real,7 -> 10,160.34409673,0.0008441814858233716
real,12 -> 7,156.82784573,0.0008256690862137605
real,10 -> 18,148.71224691,0.0007829419861213241
real,18 -> 7,147.89611055,0.000778645181816895
real,14 -> 5,145.96941855,0.0007685015111208493
real,9 -> 18,144.63919261,0.0007614981219508639
real,13 -> 6,139.89492335,0.0007365204373667103
real,16 -> 4,139.25421818,0.0007331472452541495
real,4 -> 2,137.91178826,0.0007260796044267631
real,16 -> 11,137.05370099,0.0007215619364780983
real,10 -> 8,135.05149734,0.000711020711159251
real,6 -> 11,134.56334103,0.0007084506600785195
real,10 -> 16,134.04467493,0.0007057199806966556
real,2 -> 14,130.94175009999998,0.0006893836655668353
real,6 -> 16,128.16391674,0.0006747588958307645
