scenario,source_row,o_tpb_taz,d_tpb_taz,o_activity,d_activity,departure_time_min,travel_mode,vehicle_occupancy,person_weight,vehicle_weight_unscaled,vehicle_weight
real,7521,3096,3070,2,9,660,4,1,143.23615032,143.23615032,6.75287402
real,7522,3070,3096,9,2,720,4,1,143.23615032,143.23615032,6.75287402
real,7523,3096,3082,2,1,1095,4,1,143.23615032,143.23615032,6.75287402
real,7524,3082,3027,1,16,1250,4,1,143.23615032,143.23615032,6.75287402
real,7525,3027,3082,16,1,1295,4,2,143.23615032,71.61807516,3.37643701
real,7526,3082,3071,1,2,420,4,1,143.23615032,143.23615032,6.75287402
real,7527,3071,3082,2,1,1050,4,1,143.23615032,143.23615032,6.75287402
real,7528,3082,3027,1,16,1100,4,2,143.23615032,71.61807516,3.37643701
real,7529,3027,3082,16,1,1141,4,1,143.23615032,143.23615032,6.75287402
real,7530,3098,3112,1,17,285,4,1,143.23615032,143.23615032,6.75287402
real,7533,3112,3098,17,1,871,4,1,143.23615032,143.23615032,6.75287402
real,7534,3098,3098,1,8,902,4,1,143.23615032,143.23615032,6.75287402
real,7535,3098,3098,8,1,925,4,1,143.23615032,143.23615032,6.75287402
real,7536,3082,3090,1,2,460,4,1,143.23615032,143.23615032,6.75287402
real,7537,3090,3082,2,1,1020,4,1,143.23615032,143.23615032,6.75287402
real,7538,3082,3027,1,4,1100,5,2,143.23615032,71.61807516,3.37643701
real,7539,3027,3082,4,1,1295,5,2,143.23615032,71.61807516,3.37643701
real,7540,3088,3087,1,8,572,4,1,77.10101228,77.10101228,3.63493030
real,7541,3087,3094,8,2,585,4,1,77.10101228,77.10101228,3.63493030
real,7542,3094,3088,2,2,645,4,1,77.10101228,77.10101228,3.63493030
real,7543,3082,3087,1,16,601,4,3,143.23615032,47.74538344,2.25095801
real,7546,3087,3060,16,6,1115,4,3,143.23615032,47.74538344,2.25095801
real,7547,3060,3082,6,1,1137,4,3,143.23615032,47.74538344,2.25095801
real,7548,3082,3087,1,16,601,5,3,143.23615032,47.74538344,2.25095801
real,7551,3087,3060,16,6,1115,5,3,143.23615032,47.74538344,2.25095801
real,7552,3060,3082,6,1,1137,5,3,143.23615032,47.74538344,2.25095801
real,7553,3082,3082,1,4,434,4,1,143.23615032,143.23615032,6.75287402
real,7554,3082,3082,4,1,628,4,1,143.23615032,143.23615032,6.75287402
real,7555,3082,3088,1,2,687,4,1,143.23615032,143.23615032,6.75287402
real,7556,3088,3082,2,1,1148,4,1,143.23615032,143.23615032,6.75287402
real,7557,3082,3084,1,5,1307,4,1,143.23615032,143.23615032,6.75287402
real,7558,3084,3082,5,1,1321,4,1,143.23615032,143.23615032,6.75287402
real,7559,3082,3034,11,11,975,4,1,118.61807619,118.61807619,5.59225394
real,7560,3034,3082,11,1,1389,4,1,118.61807619,118.61807619,5.59225394
real,7561,3082,3091,1,2,640,4,1,118.61807619,118.61807619,5.59225394
real,7562,3091,3082,2,1,1162,4,1,118.61807619,118.61807619,5.59225394
real,7563,3081,3089,13,5,450,4,1,77.10101228,77.10101228,3.63493030
real,7564,3089,3094,5,5,650,4,1,77.10101228,77.10101228,3.63493030
real,7565,3094,3091,5,5,750,4,1,77.10101228,77.10101228,3.63493030
real,7566,3091,3060,5,10,825,4,1,77.10101228,77.10101228,3.63493030
real,7567,3060,3082,10,5,915,4,1,77.10101228,77.10101228,3.63493030
real,7568,3082,3081,5,13,965,4,1,77.10101228,77.10101228,3.63493030
real,7569,3081,3091,13,13,1005,4,1,77.10101228,77.10101228,3.63493030
real,7570,3091,3081,13,7,1130,4,1,77.10101228,77.10101228,3.63493030
real,7571,3081,2986,1,2,375,4,1,77.10101228,77.10101228,3.63493030
real,7572,2986,3081,2,1,970,4,1,77.10101228,77.10101228,3.63493030
real,7573,3081,3091,1,13,1030,4,1,77.10101228,77.10101228,3.63493030
