link_id,volume
osm_100102594_16_rev,130
osm_100102594_17_fwd,132
osm_100102594_17_rev,130
osm_100102594_18_fwd,132
osm_100102594_18_rev,130
osm_100102594_19_fwd,132
osm_100102594_19_rev,130
osm_100102644_10_fwd,100
osm_100102644_10_rev,109
osm_100102644_18_fwd,109
osm_100102644_18_rev,100
osm_100102644_19_fwd,109
osm_100102644_19_rev,100
osm_100102644_1_fwd,77
osm_100102644_1_rev,94
osm_100102644_20_fwd,94
osm_100102644_20_rev,77
osm_100102644_21_fwd,94
osm_100102644_21_rev,77
osm_100102644_7_fwd,100
osm_100102644_7_rev,109
osm_100102644_8_fwd,100
osm_100102644_8_rev,109
osm_100102644_9_fwd,100
osm_100102644_9_rev,109
osm_100102656_6_fwd,32
osm_100102656_6_rev,32
osm_100102656_7_fwd,32
osm_100102656_7_rev,32
osm_100102656_8_fwd,32
osm_100102656_8_rev,32
osm_100102656_9_fwd,32
osm_100102656_9_rev,32
osm_100102699_1_fwd,59
osm_100102699_1_rev,57
osm_100102699_2_fwd,59
osm_100102699_2_rev,57
osm_100102741_1_fwd,59
osm_100102741_1_rev,57
osm_100102741_2_fwd,59
osm_100102741_2_rev,57
osm_100102741_3_fwd,59
osm_100102741_3_rev,57
osm_100102741_4_fwd,59
osm_100102741_4_rev,57
osm_100102741_5_fwd,59
osm_100102741_5_rev,57
osm_100102741_6_fwd,59
osm_100102741_6_rev,57
osm_100102962_1_fwd,128
osm_100102962_1_rev,70
osm_100102962_2_fwd,128
osm_100102962_2_rev,70
osm_100102962_3_fwd,128
osm_100102962_3_rev,70
osm_100102962_4_fwd,128
osm_100102962_4_rev,70
osm_100102986_1_fwd,32
osm_100102986_1_rev,32
osm_100102986_22_fwd,59
osm_100102986_22_rev,57
osm_100102986_23_fwd,91
osm_100102986_23_rev,89
osm_100102986_24_fwd,32
osm_100102986_24_rev,32
osm_100102986_25_fwd,32
osm_100102986_25_rev,32
osm_100102986_26_fwd,32
osm_100102986_26_rev,32
osm_100102986_27_fwd,32
osm_100102986_27_rev,32
osm_100102986_28_fwd,32
osm_100102986_28_rev,32
osm_100102986_2_fwd,32
osm_100102986_2_rev,32
osm_100102986_3_fwd,32
osm_100102986_3_rev,32
osm_100102986_4_fwd,32
osm_100102986_4_rev,32
osm_100102986_5_fwd,32
osm_100102986_5_rev,32
osm_100103005_1_fwd,23
osm_100103005_1_rev,15
osm_100103005_2_fwd,23
osm_100103005_2_rev,15
osm_100103015_1_fwd,100
osm_100103015_1_rev,109
osm_100103277_1_fwd,7
osm_100103277_1_rev,32
osm_100103277_2_fwd,7
osm_100103277_2_rev,32
osm_100103277_3_fwd,7
osm_100103277_3_rev,32
osm_100103277_4_fwd,7
osm_100103277_4_rev,32
osm_100103277_5_fwd,7
osm_100103277_5_rev,32
osm_100103277_6_fwd,7
osm_100103277_6_rev,32
osm_100103277_7_fwd,7
osm_100103277_7_rev,32
osm_100103277_8_fwd,7
osm_100103277_8_rev,32
osm_100103277_9_fwd,7
osm_100103277_9_rev,32
osm_1001400167_1_fwd,178
osm_1001400167_1_rev,149
osm_1001400167_2_fwd,178
osm_1001400167_2_rev,149
osm_1001400167_3_fwd,178
osm_1001400167_3_rev,149
osm_1001400169_1_fwd,178
osm_1001400169_1_rev,149
osm_1001411340_10_fwd,390
osm_1001411340_10_rev,415
osm_1001411340_11_fwd,390
osm_1001411340_11_rev,415
osm_1001411340_12_fwd,477
osm_1001411340_12_rev,518
osm_1001411340_1_fwd,390
osm_1001411340_1_rev,415
osm_1001411340_2_fwd,390
osm_1001411340_2_rev,415
osm_1001411340_3_fwd,390
osm_1001411340_3_rev,415
osm_1001411340_4_fwd,390
osm_1001411340_4_rev,415
osm_1001411340_5_fwd,390
osm_1001411340_5_rev,415
osm_1001411340_6_fwd,390
osm_1001411340_6_rev,415
osm_1001411340_7_fwd,390
osm_1001411340_7_rev,415
osm_1001411340_8_fwd,390
osm_1001411340_8_rev,415
osm_1001411340_9_fwd,390
osm_1001411340_9_rev,415
osm_1001411341_1_fwd,477
osm_1001411341_1_rev,518
osm_1001411341_2_fwd,477
osm_1001411341_2_rev,518
osm_1001411341_3_fwd,477
osm_1001411341_3_rev,518
osm_1001411341_4_fwd,477
osm_1001411341_4_rev,518
osm_1001411341_5_fwd,477
osm_1001411341_5_rev,518
osm_1001411341_6_fwd,477
osm_1001411341_6_rev,518
osm_1001411341_7_fwd,477
osm_1001411341_7_rev,518
osm_1001411341_8_fwd,477
osm_1001411341_8_rev,518
osm_1001411341_9_fwd,477
osm_1001411341_9_rev,518
osm_1001417302_1_fwd,23
osm_1001417302_1_rev,29
osm_1001417302_2_fwd,23
osm_1001417302_2_rev,29
osm_1001417302_3_fwd,23
osm_1001417302_3_rev,29
osm_1001417302_4_fwd,23
osm_1001417302_4_rev,29
osm_1001417303_1_fwd,23
osm_1001417303_1_rev,29
osm_1001417303_2_fwd,23
osm_1001417303_2_rev,29
osm_1001417303_3_fwd,23
osm_1001417303_3_rev,29
osm_1001429121_1_fwd,148
osm_1001429121_1_rev,99
osm_1001429122_1_fwd,132
osm_1001429122_1_rev,89
osm_1001599203_1_fwd,114
osm_1001599203_1_rev,107
osm_1002165144_1_fwd,474
osm_1002165144_1_rev,503
osm_1002165144_2_fwd,474
osm_1002165144_2_rev,503
osm_1002165145_1_fwd,136
osm_1002165145_1_rev,134
osm_1002165145_2_fwd,136
osm_1002165145_2_rev,134
osm_1002378369_1_fwd,542
osm_1002378369_1_rev,524
osm_1002378369_2_fwd,542
osm_1002378369_2_rev,524
osm_1002378369_3_fwd,542
osm_1002378369_3_rev,524
osm_1002378369_4_fwd,542
osm_1002378369_4_rev,524
osm_1002378369_5_fwd,542
osm_1002378369_5_rev,524
osm_1002529198_1_fwd,311
osm_1002529198_1_rev,318
osm_1002529198_2_fwd,311
osm_1002529198_2_rev,318
osm_1002566020_1_fwd,104
osm_1002566020_1_rev,116
osm_1002566020_2_fwd,104
osm_1002566020_2_rev,116
osm_1002570672_10_fwd,71
osm_1002570672_10_rev,83
osm_1002570672_11_fwd,71
osm_1002570672_11_rev,83
osm_1002570672_1_fwd,71
osm_1002570672_1_rev,83
osm_1002570672_2_fwd,71
osm_1002570672_2_rev,83
osm_1002570672_3_fwd,71
osm_1002570672_3_rev,83
osm_1002570672_4_fwd,71
osm_1002570672_4_rev,83
osm_1002570672_5_fwd,71
osm_1002570672_5_rev,83
osm_1002570672_6_fwd,71
osm_1002570672_6_rev,83
osm_1002570672_7_fwd,71
osm_1002570672_7_rev,83
osm_1002570672_8_fwd,71
osm_1002570672_8_rev,83
osm_1002570672_9_fwd,71
osm_1002570672_9_rev,83
osm_1002626115_1_fwd,112
osm_1002626115_1_rev,126
osm_1002930442_1_fwd,54
osm_1002930442_1_rev,72
osm_1002930442_2_fwd,54
osm_1002930442_2_rev,72
osm_1002974843_1_fwd,206
osm_1002974843_1_rev,201
osm_1002974843_2_fwd,206
osm_1002974843_2_rev,201
osm_1002974843_3_fwd,206
osm_1002974843_3_rev,201
osm_1003357675_1_fwd,62
osm_1003357675_1_rev,117
osm_1003357675_2_fwd,62
osm_1003357675_2_rev,117
osm_1003357675_3_fwd,62
osm_1003357675_3_rev,117
osm_1003841163_1_fwd,112
osm_1003841163_1_rev,111
osm_1003841163_2_fwd,112
osm_1003841163_2_rev,111
osm_1003841163_3_fwd,112
osm_1003841163_3_rev,111
osm_1003841163_4_fwd,112
osm_1003841163_4_rev,111
osm_1003841163_5_fwd,112
osm_1003841163_5_rev,111
osm_1003841164_1_fwd,112
osm_1003841164_1_rev,111
osm_100385737_1_fwd,28
osm_100385737_1_rev,41
osm_1003906724_1_fwd,22
osm_1003906724_1_rev,12
osm_100397104_1_fwd,93
osm_100397104_1_rev,123
osm_100397104_2_fwd,93
osm_100397104_2_rev,123
osm_100397104_3_fwd,93
osm_100397104_3_rev,123
osm_100397104_4_fwd,93
osm_100397104_4_rev,123
osm_100397104_5_fwd,93
osm_100397104_5_rev,123
osm_100401066_1_fwd,106
osm_100401066_1_rev,153
osm_100401066_2_fwd,106
