example_id,o_tract_fips,d_tract_fips,path_order,first_raw_position,path_occurrences,screenline_id,tract_a,tract_b,screenline_color,shared_boundary_m,is_validation_candidate,is_in_cached_validation_path,mapped_mdot_station_ids,mapped_fhwa_station_ids
11,24005401503,24005411302,23,26,1,24005440400__24510260101,24005440400,24510260101,#637939,2163.3171720401915,True,True,S2009030053,
11,24005401503,24005411302,24,27,1,24005440400__24005440500,24005440400,24005440500,#b5cf6b,2940.249931361765,True,True,B030125;S2012030079,
11,24005401503,24005411302,25,28,1,24005440500__24005440800,24005440500,24005440800,#8c6d31,2684.702980509858,True,True,P0034;S1998030122;S1998030128;S2002030040;S2002030041,P0034
11,24005401503,24005411302,26,30,1,24005440600__24005440702,24005440600,24005440702,#e7ba52,2760.835614893927,True,True,S2009030073,
12,24003751103,24003740201,1,1,1,24003751000__24003751103,24003751000,24003751103,#1f77b4,1633.8947556694363,True,True,B0713;B0756;S2006020017;S2010020062,
12,24003751103,24003740201,2,2,1,24003730300__24003751000,24003730300,24003751000,#ff7f0e,1778.013476724651,True,True,B0713;B0756;S2006020017;S2006020018;S2010020061;S2010020062;S2010020064;S2010020065;S2011020890;S2011020891,
12,24003751103,24003740201,3,3,1,24003730300__24003730402,24003730300,24003730402,#2ca02c,1757.510687484223,True,True,B020078;B0802,
12,24003751103,24003740201,4,4,1,24003730401__24003730402,24003730401,24003730402,#d62728,2494.664468257779,True,True,B0632;S2011020888,
12,24003751103,24003740201,5,5,1,24003730401__24003740201,24003730401,24003740201,#9467bd,2198.6168978000355,True,True,B020110;S2000020151;S2010020106;S2011020903;S2012021517,
13,24045000200,24045010605,1,1,1,24045000100__24045000200,24045000100,24045000200,#1f77b4,2181.4712711322823,True,True,B220021;B220035;B4166;S2011220608;S2011220612,
13,24045000200,24045010605,2,2,1,24045000100__24045000500,24045000100,24045000500,#ff7f0e,1552.896433650342,True,True,B220035;S2011220608,
13,24045000200,24045010605,3,3,1,24045000500__24045010502,24045000500,24045010502,#2ca02c,2887.4940473783367,True,True,B220031,
13,24045000200,24045010605,4,4,1,24045010502__24045010605,24045010502,24045010605,#d62728,2995.554073039753,True,True,B4158;B4171,
14,24005490701,24005410100,1,1,1,24005490301__24005490701,24005490301,24005490701,#1f77b4,1183.9971796273383,True,True,S2012030176;S2012030193,
14,24005490701,24005410100,2,2,1,24005490200__24005490301,24005490200,24005490301,#ff7f0e,2610.328173343349,True,True,B030152;B1103;B1104;S2000030147;S2000030149;S2001030145;S2006030057;S2006030058;S2006030059;S2006030061,
14,24005490701,24005410100,3,3,1,24005408602__24005490200,24005408602,24005490200,#2ca02c,1815.4750043535287,True,True,S2012030118;S2012030119,
14,24005490701,24005410100,4,4,1,24005408602__24005408800,24005408602,24005408800,#d62728,1155.1385596627008,True,True,B0964;S2012030116;S2012030120,
14,24005490701,24005410100,5,5,1,24005408601__24005408800,24005408601,24005408800,#9467bd,1261.9315212245895,True,True,B0965;S2012030116;S2012030160,
14,24005490701,24005410100,6,6,1,24005408505__24005408601,24005408505,24005408601,#8c564b,1910.6770478160138,True,True,B0965,
14,24005490701,24005410100,7,7,1,24005408505__24005408507,24005408505,24005408507,#e377c2,879.0013070136044,True,True,S2017030286,
14,24005490701,24005410100,8,8,1,24005408506__24005408507,24005408506,24005408507,#7f7f7f,3042.243586206394,True,True,S2011030933;S2011030935,
