example_id,o_tract_fips,d_tract_fips,path_order,screenline_id,screenline_color,station_id,is_fhwa_station,boundary_distance_m,boundary_centroid_distance_ratio,station_x,station_y
31,24027602700,24031700817,12,24031701314__24031701315,#ffbb78,B2751,False,13.853336627201918,0.0210321529339152,394612.73077791993,164757.0052510455
31,24027602700,24031700817,12,24031701314__24031701315,#ffbb78,S2012150867,False,52.31164905568945,0.07458438971434866,394665.15840237285,164802.4562902906
31,24027602700,24031700817,13,24031701312__24031701314,#98df8a,B2743,False,2.110736216896713,0.00443260320105642,394209.92196017044,164210.4844451259
31,24027602700,24031700817,13,24031701312__24031701314,#98df8a,B2750,False,1.5163702440722617,0.0014903283908039799,394220.202388652,165012.10863913374
31,24027602700,24031700817,14,24031701312__24031701313,#ff9896,B150038,False,1.4376436641940464,0.0014376259061354378,393902.6532856032,163862.9058258222
31,24027602700,24031700817,15,24031701306__24031701313,#c5b0d5,S2012150674,False,0.024290271349410822,2.5798154241680974e-05,393023.28993306047,162255.646370081
31,24027602700,24031700817,17,24031701211__24031701212,#f7b6d2,S2012150881,False,119.86854209404832,0.08213364307445147,386344.47731179156,161418.1838426661
31,24027602700,24031700817,18,24031700711__24031701212,#c7c7c7,S2012150677,False,94.17847979396386,0.06700982852586954,386702.52703487425,161749.82433296042
31,24027602700,24031700817,19,24031700704__24031700711,#dbdb8d,S2012150771,False,51.15164675426292,0.05270053150902139,384466.70558937924,163408.8091059087
31,24027602700,24031700817,19,24031700704__24031700711,#dbdb8d,S2012150815,False,21.942484344492986,0.025906516699659973,384496.0602858501,163285.74257311109
31,24027602700,24031700817,20,24031700704__24031700718,#9edae5,S2001150153,False,69.5387073110667,0.09087980817547724,384496.0218442389,161652.8052559881
31,24027602700,24031700817,20,24031700704__24031700718,#9edae5,S2012150968,False,99.64989549452388,0.07490011916254874,385561.97866510093,160787.54959074676
31,24027602700,24031700817,20,24031700704__24031700718,#9edae5,S2018150234,False,18.038973790482885,0.023418255612039408,384597.91072961246,161674.74204707408
31,24027602700,24031700817,21,24031700718__24031700817,#393b79,B2965,False,17.773444627659927,0.021709636478755023,383448.77424435475,160719.43661004512
31,24027602700,24031700817,21,24031700718__24031700817,#393b79,S2000150030,False,44.85296537618326,0.06577253282366163,383716.8257925811,160493.8181986651
31,24027602700,24031700817,21,24031700718__24031700817,#393b79,S2005150077,False,73.52488682674175,0.05192273906235874,382813.65250554663,161470.27717911947
32,24009861004,24009860701,1,24009861003__24009861004,#1f77b4,B1329,False,84.26414671130915,0.022265632560038714,449590.13448013744,80306.2970110015
32,24009861004,24009860701,1,24009861003__24009861004,#1f77b4,S2013040571,False,3.888907231097185,0.0040716103439173475,450830.62198427337,76533.86000308115
32,24009861004,24009860701,1,24009861003__24009861004,#1f77b4,S2017040320,False,1.0144605845383112,0.0010326440952321066,450870.16650211776,76442.20719251575
32,24009861004,24009860701,3,24009860701__24009860703,#2ca02c,B1312,False,1.9199087809205797,0.0005543360145691195,435357.39237193315,96362.87994032828
32,24009861004,24009860701,3,24009860701__24009860703,#2ca02c,B1344,False,1.4617707420102963,0.00033264278298366517,429442.32157884893,93672.18179413969
33,24005420900,24005421000,1,24005420900__24005421000,#1f77b4,S2012030168,False,84.83596215712467,0.21700298858495062,440905.5936706749,177442.20570543243
33,24005420900,24005421000,1,24005420900__24005421000,#1f77b4,S2013030244,False,45.49549282142697,0.07245709539410476,441183.5356722839,176583.48438535124
34,24510220100,24027602900,1,24510210100__24510220100,#1f77b4,B240054,False,1.2309231588413092,0.0014468558983302036,432224.9547108059,179615.53800519468
34,24510220100,24027602900,1,24510210100__24510220100,#1f77b4,BC055,False,75.08964794882195,0.1484832557233453,432890.44446022226,179168.42829222349
34,24510220100,24027602900,1,24510210100__24510220100,#1f77b4,S2009240031,False,23.7642637992045,0.04267193830226957,432847.96331055777,179139.46479089945
34,24510220100,24027602900,1,24510210100__24510220100,#1f77b4,S2009240041,False,30.541466232089665,0.04957067935074492,432617.76245200605,179224.49045130785
34,24510220100,24027602900,1,24510210100__24510220100,#1f77b4,S2009240042,False,27.965877323835038,0.04823145172134283,432370.4713805134,179321.37148183497
34,24510220100,24027602900,1,24510210100__24510220100,#1f77b4,S2012241425,False,55.80403123462843,0.08156364785424403,432606.3475512516,179320.75126911185
34,24510220100,24027602900,2,24510210100__24510210200,#ff7f0e,B240030,False,47.74357915786508,0.14206232535847485,432077.17893361126,178455.12160780124
34,24510220100,24027602900,2,24510210100__24510210200,#ff7f0e,S1998240010,False,60.56729200386322,0.07159475282741684,431759.1866231641,178047.45279283662
34,24510220100,24027602900,2,24510210100__24510210200,#ff7f0e,S2003240025,False,19.92083198672491,0.018569020027386817,432026.04061551916,179822.32991356577
34,24510220100,24027602900,2,24510210100__24510210200,#ff7f0e,S2009240037,False,86.6500345864052,0.09596808771931066,431743.5446495095,177990.28829079424
34,24510220100,24027602900,2,24510210100__24510210200,#ff7f0e,S2009240038,False,23.71419101315382,0.027328651930750864,431675.150269305,178079.58924316335
34,24510220100,24027602900,2,24510210100__24510210200,#ff7f0e,S2012240506,False,0.7669610845248528,0.0009388712348033922,431744.0739920717,179437.78927595998
