column_a,column_b,kind_a,kind_b,real_unique_pairs,synthetic_unique_pairs,cross_marginal_overlap,total_variation_distance
park_pay,service_delivered,categorical,categorical,4,4,0.96952863,0.03047137
toll_road_used,j1_benefits_parking,categorical,categorical,6,6,0.96955968,0.03044032
subway_station_exit,hov_used,categorical,categorical,115,93,0.96962586,0.03037414
subway_station_board,hov_used,categorical,categorical,111,93,0.96967118,0.03032882
j1_benefits_walking_biking,j1_benefits_ev_charging,categorical,categorical,5,9,0.96971878,0.03028122
j1_benefits_walking_biking,school_freq,categorical,categorical,25,26,0.96973248,0.03026752
transit_access_mode,subway_access_mode,categorical,categorical,17,32,0.96974816,0.03025184
numdisabilities,j1_telecommute,numeric,categorical,14,10,0.96982680,0.03017320
tolltransponder,disability,categorical,categorical,6,6,0.96988449,0.03011551
subway_egress_mode,toll_road_used,categorical,categorical,10,10,0.96992547,0.03007453
subway_station_board,subway_egress_mode,categorical,categorical,297,248,0.96994323,0.03005677
transit_egress_mode,subway_station_board,categorical,categorical,319,238,0.96995914,0.03004086
food_delivered,j1_telecommute,categorical,categorical,6,6,0.96996173,0.03003827
subway_pay,subway_station_exit,categorical,categorical,405,247,0.97008147,0.02991853
subway_station_board,subway_access_mode,categorical,categorical,326,259,0.97008690,0.02991310
subway_access_mode,subway_station_exit,categorical,categorical,300,243,0.97009169,0.02990831
transit_access_mode,subway_station_exit,categorical,categorical,315,235,0.97010415,0.02989585
transit_access_mode,subway_station_board,categorical,categorical,334,250,0.97012888,0.02987112
numdisabilities,school_freq,numeric,categorical,28,25,0.97014607,0.02985393
service_delivered,school_type,categorical,categorical,20,20,0.97020208,0.02979792
school_freq,td_shop_time,categorical,numeric,41,34,0.97024446,0.02975554
subway_egress_mode,school_type,categorical,categorical,42,37,0.97027137,0.02972863
hov_used,school_freq,categorical,categorical,17,16,0.97028652,0.02971348
toll_road_used,service_delivered,categorical,categorical,4,4,0.97029451,0.02970549
park_pay,subway_egress_mode,categorical,categorical,11,11,0.97030404,0.02969596
park_pay,school_freq,categorical,categorical,18,16,0.97032559,0.02967441
subway_pay,subway_station_board,categorical,categorical,392,239,0.97033134,0.02966866
tolltransponder,j1_benefits_walking_biking,categorical,categorical,9,9,0.97035798,0.02964202
park_pay,j1_benefits_parking,categorical,categorical,6,6,0.97035992,0.02964008
disability,school_freq,categorical,categorical,18,16,0.97036503,0.02963497
toll_road_used,school_freq,categorical,categorical,17,17,0.97036836,0.02963164
subway_used,subway_station_exit,categorical,categorical,109,152,0.97037262,0.02962738
travelers_nonhh,tolltransponder,categorical,categorical,28,18,0.97042082,0.02957918
j1_workplace_loc,j1_benefits_walking_biking,categorical,categorical,9,14,0.97046837,0.02953163
race_ethnicity_hispanic,school_freq,categorical,categorical,18,18,0.97058807,0.02941193
transit_egress_mode,subway_access_mode,categorical,categorical,34,29,0.97061482,0.02938518
subway_used,subway_station_board,categorical,categorical,106,148,0.97067046,0.02932954
transit_access_mode,tolltransponder,categorical,categorical,19,17,0.97071129,0.02928871
transit_egress_mode,subway_used,categorical,categorical,13,14,0.97076649,0.02923351
park_pay,j1_telecommute_days,categorical,numeric,12,12,0.97076985,0.02923015
tolltransponder,school_mode,categorical,categorical,33,33,0.97078184,0.02921816
disability,td_shop_time,categorical,numeric,15,11,0.97078960,0.02921040
subway_access_mode,toll_road_used,categorical,categorical,9,9,0.97081803,0.02918197
transit_access_mode,subway_egress_mode,categorical,categorical,34,30,0.97084882,0.02915118
subway_pay,school_type,categorical,categorical,51,37,0.97085467,0.02914533
transit_egress_mode,subway_pay,categorical,categorical,47,29,0.97085608,0.02914392
subway_pay,toll_road_used,categorical,categorical,16,8,0.97088374,0.02911626
numdisabilities,j1_benefits_none,numeric,categorical,15,10,0.97089204,0.02910796
j1_workplace_loc,school_mode,categorical,categorical,45,48,0.97089554,0.02910446
subway_pay,j1_telecommute,categorical,categorical,31,16,0.97092798,0.02907202
subway_access_mode,school_type,categorical,categorical,42,40,0.97095717,0.02904283
j1_benefits_none,school_type,categorical,categorical,27,30,0.97098007,0.02901993
transit_access_mode,subway_pay,categorical,categorical,49,29,0.97107220,0.02892780
numdisabilities,jobs_count,numeric,numeric,20,15,0.97108871,0.02891129
j1_benefits_carpool,td_shop_time,categorical,numeric,21,15,0.97110276,0.02889724
park_pay,j1_benefits_ev_charging,categorical,categorical,6,6,0.97110883,0.02889117
subway_used,toll_road_used,categorical,categorical,4,4,0.97113762,0.02886238
transit_egress_mode,j1_benefits_none,categorical,categorical,21,20,0.97114068,0.02885932
park_pay,subway_access_mode,categorical,categorical,11,10,0.97115180,0.02884820
transit_access_mode,subway_used,categorical,categorical,13,14,0.97116291,0.02883709
transit_access_mode,j1_benefits_none,categorical,categorical,21,21,0.97118443,0.02881557
toll_road_used,j1_telecommute_days,categorical,numeric,12,12,0.97118699,0.02881301
park_pay,subway_pay,categorical,categorical,19,9,0.97121722,0.02878278
subway_station_board,j1_benefits_none,categorical,categorical,277,228,0.97122835,0.02877165
numdisabilities,j1_benefits_carpool,numeric,categorical,13,10,0.97124146,0.02875854
j1_benefits_carpool,school_mode,categorical,categorical,29,29,0.97124630,0.02875370
transit_egress_mode,tolltransponder,categorical,categorical,20,20,0.97126701,0.02873299
transit_egress_mode,license,categorical,categorical,14,13,0.97126949,0.02873051
transit_access_mode,license,categorical,categorical,14,13,0.97130556,0.02869444
park_pay,volunteer_status,categorical,categorical,4,4,0.97131480,0.02868520
toll_road_used,volunteer_status,categorical,categorical,4,4,0.97137138,0.02862862
food_delivered,school_type,categorical,categorical,20,20,0.97139298,0.02860702
park_pay,smartphone,categorical,categorical,4,4,0.97141564,0.02858436
park_pay,subway_used,categorical,categorical,4,4,0.97142592,0.02857408
subway_used,school_type,categorical,categorical,20,20,0.97143038,0.02856962
subway_station_exit,j1_benefits_none,categorical,categorical,282,233,0.97147253,0.02852747
jobs_count,td_shop_time,numeric,numeric,30,22,0.97155869,0.02844131
j1_benefits_walking_biking,school_type,categorical,categorical,24,28,0.97158324,0.02841676
race_ethnicity_hispanic,j1_telecommute,categorical,categorical,6,6,0.97162615,0.02837385
tolltransponder,td_shop_time,categorical,numeric,26,18,0.97166449,0.02833551
tolltransponder,food_delivered,categorical,categorical,6,6,0.97170658,0.02829342
toll_road_used,j1_benefits_ev_charging,categorical,categorical,6,6,0.97175784,0.02824216
numdisabilities,smartphone,numeric,categorical,10,8,0.97176196,0.02823804
food_delivered,j1_workplace_loc,categorical,categorical,10,10,0.97178691,0.02821309
subway_egress_mode,j1_telecommute,categorical,categorical,18,18,0.97179041,0.02820959
j1_benefits_none,school_mode,categorical,categorical,33,33,0.97185467,0.02814533
travelers_nonhh,hov_used,categorical,categorical,22,10,0.97188103,0.02811897
j1_telecommute_days,j1_benefits_none,numeric,categorical,13,16,0.97188919,0.02811081
j1_workplace_loc,td_shop_time,categorical,numeric,31,26,0.97193323,0.02806677
subway_station_exit,license,categorical,categorical,188,161,0.97197807,0.02802193
numdisabilities,tdate_dow,numeric,categorical,21,17,0.97198716,0.02801284
subway_access_mode,j1_telecommute,categorical,categorical,18,18,0.97200615,0.02799385
subway_station_board,license,categorical,categorical,184,157,0.97202376,0.02797624
toll_road_used,smartphone,categorical,categorical,4,4,0.97217995,0.02782005
license,smartphone,categorical,categorical,4,4,0.97219858,0.02780142
travelers_nonhh,license,categorical,categorical,22,12,0.97223241,0.02776759
subway_station_exit,tolltransponder,categorical,categorical,247,177,0.97228867,0.02771133
license,j1_benefits_parking,categorical,categorical,6,6,0.97229607,0.02770393
subway_station_board,tolltransponder,categorical,categorical,245,183,0.97229784,0.02770216
school_mode,td_shop_time,categorical,numeric,44,37,0.97234224,0.02765776
tolltransponder,numdisabilities,categorical,numeric,14,11,0.97235997,0.02764003
subway_used,j1_telecommute,categorical,categorical,6,6,0.97237984,0.02762016
disability,j1_benefits_walking_biking,categorical,categorical,6,6,0.97243994,0.02756006
j1_benefits_none,td_shop_time,categorical,numeric,22,17,0.97246322,0.02753678
j1_telecommute,td_shop_time,categorical,numeric,24,18,0.97258944,0.02741056
park_pay,school_type,categorical,categorical,20,19,0.97268711,0.02731289
numdisabilities,school_type,numeric,categorical,33,29,0.97271929,0.02728071
disability,school_mode,categorical,categorical,22,22,0.97272484,0.02727516
j1_benefits_carpool,j1_benefits_walking_biking,categorical,categorical,5,9,0.97275472,0.02724528
